,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
108,13,New Zealand,8.1,10.6,9.9,9.3,8.0,8.6,9.4,12.8,13.8
109,124,Nicaragua,3.7,-5.7,6.0,10.9,8.8,13.5,11.9,11.1,11.7
110,187,Niger,-18.5,-23.1,-10.5,2.2,9.4,3.2,5.9,5.7,
111,152,Nigeria,-17.9,-25.2,-6.7,-11.1,11.4,10.0,19.0,7.3,11.0
112,1,Norway,6.6,9.4,11.7,14.4,15.9,17.4,20.4,20.3,21.0
113,52,Oman,-22.1,-25.1,-7.9,-6.2,-12.9,-17.5,-15.3,-20.1,
114,147,Pakistan,10.3,10.2,7.7,9.7,9.7,10.6,10.5,12.0,14.1
115,60,Panama,21.7,28.1,20.2,16.0,26.8,18.7,24.3,,
116,154,Papua New Guinea,0.1,8.8,9.8,,,,,,
117,110,Paraguay,,8.3,3.7,6.5,5.5,10.4,5.6,10.6,10.0
118,87,Peru,5.1,8.3,8.0,11.3,13.1,12.5,13.0,14.2,13.3
119,116,Philippines,10.2,10.0,28.7,33.0,36.4,26.8,26.5,27.8,28.7
120,36,Poland,,8.7,8.2,6.8,8.0,9.8,9.4,9.6,10.0
121,41,Portugal,16.0,12.8,6.7,1.5,-2.1,-0.5,-0.2,2.3,2.4
122,33,Qatar,,,,,,25.2,29.1,28.7,29.6
123,50,Romania,-11.2,-8.7,-7.8,-4.2,4.9,4.3,4.2,22.6,21.6
124,49,Russian Federation,,-1.7,7.8,6.3,12.3,15.1,14.9,11.7,11.9
125,159,Rwanda,-0.6,-3.9,-6.2,4.6,8.0,10.8,6.1,9.8,4.8
126,38,Saudi Arabia,-5.3,-0.1,6.5,22.4,20.4,25.2,24.3,20.0,
127,162,Senegal,-5.0,0.3,4.2,8.8,11.0,12.4,,,
128,179,Sierra Leone,-25.5,-29.5,-30.2,-10.9,4.7,,,,
129,5,Singapore,31.4,39.2,33.4,33.2,41.6,40.0,38.0,37.5,36.9
130,40,Slovakia,,8.2,4.2,3.6,2.1,1.8,3.5,3.6,1.3
131,25,Slovenia,,10.1,10.3,12.7,7.0,6.9,5.0,7.3,10.8
132,156,Solomon Islands,-57.5,,-13.8,-20.1,,,,,
133,119,South Africa,3.2,6.9,4.0,3.5,4.6,4.1,3.1,1.5,2.1
134,27,Spain,12.4,12.3,12.2,11.2,6.8,5.4,5.8,6.6,6.6
135,73,Sri Lanka,15.6,14.4,17.3,20.1,17.3,,,,
136,165,Sudan,,,,,,,5.8,7.3,6.1
137,97,Suriname,-0.1,-0.1,-20.8,-12.1,,,,,
138,148,Swaziland,5.7,2.6,1.4,10.7,-7.5,-1.6,,,
139,14,Sweden,19.4,18.7,18.6,19.7,18.5,19.0,18.4,17.9,18.8
140,2,Switzerland,16.8,15.6,19.3,19.6,21.6,18.6,18.9,18.0,15.0
141,149,Syrian Arab Republic,-9.9,0.5,-3.9,-6.5,,,,,
142,129,Tajikistan,,,,-17.3,13.1,11.3,12.8,14.3,
143,151,Tanzania (United Republic of),8.8,-3.1,2.8,8.1,10.9,11.3,9.7,11.4,15.2
144,87,Thailand,22.4,23.0,12.0,11.0,13.1,14.3,12.5,11.5,12.0
145,82,The former Yugoslav Republic of Macedonia,,,6.2,1.3,6.2,10.4,11.1,11.4,13.5
146,166,Togo,8.9,-1.7,-8.7,-6.5,-12.1,-20.2,-20.8,-19.5,
147,65,Trinidad and Tobago,-5.2,3.2,-9.8,-3.4,-6.8,-14.4,,,
148,97,Tunisia,14.7,6.3,8.1,6.8,5.9,-0.5,-0.7,-2.5,-2.7
149,71,Turkey,16.3,16.4,12.6,11.0,9.3,10.1,10.2,9.1,10.8
150,163,Uganda,-14.3,-10.2,-1.1,4.8,4.8,2.0,2.6,4.3,3.1
151,84,Ukraine,,0.6,-1.3,6.8,0.9,0.3,0.6,-5.8,-2.7
152,16,United Kingdom,1.4,6.7,5.8,5.8,4.1,4.8,3.6,3.3,3.6
153,10,United States,6.8,7.8,9.1,5.6,2.8,3.5,5.7,5.5,6.4
154,54,Uruguay,6.4,6.8,3.8,9.9,8.3,10.0,9.9,10.1,8.1
155,71,Venezuela (Bolivarian Republic of),7.0,9.4,20.5,19.1,22.7,16.5,14.5,,
156,115,Viet Nam,,,15.5,15.4,12.7,7.7,15.6,14.1,15.0
157,168,Yemen,23.8,-3.7,4.2,-7.5,,,,,
158,139,Zambia,,,,,3.5,,,,
159,154,Zimbabwe,25.7,,,,,,,,
160,,,,,,,,,,,
