,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012
173,16,United Kingdom,0.7,1.1,1.0,1.4,3.2,4.1,4.4
174,10,United States,4.2,4.7,5.4,5.9,7.5,8.2,7.9
175,54,Uruguay,44.8,41.1,38.8,39.9,52.5,48.6,46.4
176,105,Uzbekistan,1.3,1.5,1.2,1.9,2.6,2.2,2.4
177,134,Vanuatu,100.0,100.0,68.8,67.5,39.1,34.2,
178,71,Venezuela (Bolivarian Republic of),11.2,12.3,13.7,12.5,10.3,12.4,11.2
179,115,Viet Nam,76.1,65.1,58.0,44.4,34.8,35.5,35.6
180,168,Yemen,2.1,1.5,1.2,0.9,0.8,1.0,1.0
181,139,Zambia,83.1,87.1,89.9,89.3,91.8,90.5,88.2
182,154,Zimbabwe,64.0,67.1,69.3,80.1,77.8,75.8,75.6
183,,,,,,,,,
