,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
36,90,China,8.2,8.6,9.5,10.9,12.7,13.0,13.3,13.8,13.7,13.7 qqq
37,95,Colombia,9.3,10.2,11.7,13.1,14.6,14.7,14.4,14.8,14.6,14.6 qqq
38,160,Comoros,,7.4,7.7,9.1,10.2,10.5,10.7,10.9,10.9,10.9 qqq
39,135,Congo,10.3,9.6,8.9,9.0,10.4,10.7,11.0,11.0,11.0,11.0 qqq
40,176,Congo (Democratic Republic of the),,,,6.2,7.5,7.8,7.8,8.0,8.6,8.7 qqq
41,66,Costa Rica,,,11.9,12.9,14.4,14.8,14.9,15.2,14.5,14.5 qqq
42,45,Croatia,10.8,11.4,12.5,14.3,15.2,15.3,15.5,15.7,16.0,16.0 qqq
43,68,Cuba,12.7,11.7,12.4,15.6,17.7,16.8,15.4,14.7,14.4,14.4 qqq
44,33,Cyprus,9.4,12.6,12.6,13.6,13.8,13.9,14.0,14.3,14.7,14.7 qqq
45,28,Czech Republic,11.4,12.5,14.0,15.1,16.6,16.6,16.7,17.4,17.6,17.6 qqq
46,171,Côte d'Ivoire,,5.0,5.4,6.3,7.1,7.3,7.5,7.6,7.8,7.8 qqq
47,5,Denmark,14.3,15.4,16.8,17.5,17.6,19.1,19.3,19.9,20.0,20.0 qqq
48,172,Djibouti,2.3,2.4,2.4,3.7,5.4,5.8,5.8,5.8,5.8,5.8 qqq
49,99,Dominican Republic,,,,,13.5,13.6,13.6,13.6,13.7,13.7 qqq
50,89,Ecuador,,,,,,,14.4,14.4,14.4,14.4 qqq
51,111,Egypt,8.6,9.5,10.5,11.2,12.1,12.2,12.7,12.9,13.0,13.0 qqq
52,117,El Salvador,,10.3,11.4,12.7,12.8,12.9,13.0,13.0,13.0,13.0 qqq
53,135,Equatorial Guinea,,,6.6,7.3,,,,,,
54,179,Eritrea,,3.0,3.7,4.5,4.4,4.4,4.4,4.4,4.4,4.4 qqq
55,30,Estonia,13.3,13.2,15.8,17.2,17.4,17.4,17.5,17.4,17.4,17.4 qqq
56,174,Ethiopia,2.5,1.9,3.4,5.6,7.6,7.8,7.9,7.9,7.9,7.9 qqq
57,91,Fiji,,,13.5,14.3,,,,,,
58,23,Finland,15.7,17.1,18.4,17.7,17.5,17.6,17.6,17.6,17.6,17.6 qqq
59,21,France,14.5,15.9,15.9,16.4,16.4,16.5,16.5,16.5,16.6,16.6 qqq
60,109,Gabon,,11.7,11.9,12.2,12.4,12.4,12.5,12.5,12.5,12.5 qqq
61,173,Gambia,4.1,4.4,6.1,7.9,8.7,8.7,8.7,8.7,8.7,8.7 qqq
62,70,Georgia,12.2,11.0,11.7,12.6,13.3,13.5,13.7,13.9,14.1,14.1 qqq
63,4,Germany,14.0,15.3,16.0,16.3,16.6,16.6,16.7,16.8,16.9,16.9 qqq
64,139,Ghana,,7.1,7.5,8.2,10.4,10.8,11.0,11.3,11.1,11.1 qqq
65,29,Greece,12.9,13.4,14.6,16.4,16.6,16.8,17.0,17.1,17.1,17.1 qqq
66,79,Grenada,,,,15.5,16.2,16.2,16.2,16.2,16.2,16.2 qqq
67,125,Guatemala,,,8.0,9.5,10.3,10.3,10.4,10.5,10.5,10.5 qqq
68,183,Guinea,1.7,2.2,3.8,5.8,7.0,7.2,7.3,7.4,7.5,7.5 qqq
69,127,Guyana,,,11.0,11.7,10.5,10.7,10.5,10.5,10.5,10.5 qqq
70,130,Honduras,8.8,9.5,10.4,11.3,12.1,12.1,12.1,11.8,11.6,11.6 qqq
71,12,"Hong Kong, China (SAR)",,,,,15.3,15.4,15.0,15.7,15.8,15.8 qqq
72,43,Hungary,11.2,12.6,14.5,15.7,15.7,15.7,15.7,16.2,16.0,16.0 qqq
73,9,Iceland,14.4,16.0,17.8,19.2,19.9,19.8,20.1,20.1,20.1,20.1 qqq
74,131,India,6.4,6.9,7.3,9.1,10.5,11.0,11.4,11.9,11.9,11.9 qqq
75,113,Indonesia,9.6,9.6,10.4,10.9,12.4,12.6,13.0,12.9,12.9,12.9 qqq
76,69,Iran (Islamic Republic of),,10.4,11.0,11.3,13.1,13.6,15.0,14.7,14.6,14.6 qqq
77,121,Iraq,,7.8,7.4,8.9,9.9,10.1,9.9,9.7,9.7,9.7 www
78,8,Ireland,12.3,13.3,16.9,17.9,18.6,18.4,18.6,18.6,18.6,18.6 qqq
79,19,Israel,13.0,14.3,15.6,16.2,16.3,16.4,16.4,16.5,16.5,16.5 qqq
80,26,Italy,12.8,14.2,15.2,16.4,16.9,17.1,16.9,16.7,16.7,16.7 qqq
81,94,Jamaica,,11.6,11.2,12.7,13.0,13.1,13.1,13.1,13.1,13.1 qqq
82,17,Japan,13.1,14.1,14.5,14.8,15.0,15.1,15.2,15.2,15.2,15.2 qqq
83,86,Jordan,11.9,12.2,13.0,13.9,13.1,12.9,13.4,13.4,13.4,13.4 qqq
84,56,Kazakhstan,,12.2,12.6,14.7,14.7,15.0,15.3,15.2,15.3,15.4 qqq
85,146,Kenya,,8.5,8.2,9.4,10.8,10.8,10.8,10.8,10.8,10.8 qqq
86,137,Kiribati,10.5,11.2,10.8,12.5,12.3,12.3,12.3,12.3,12.3,12.3 qqq
87,0,Korea (Democratic People's Rep. of),,,,,11.5,11.5,11.5,11.5,11.5,11.5 qqq
88,18,Korea (Republic of),13.0,14.1,14.9,15.7,15.8,15.9,15.8,15.8,15.8,15.8 qqq
89,51,Kuwait,10.3,11.8,14.7,15.0,14.1,13.9,13.7,13.6,13.6,13.6 qqq
