,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
72,130,Honduras,133.5,126.5,115.8,100.0,84.1,80.2 hhhh,76.4 hhhh,72.6 hhhh,68.8 hhhh,65.0 hhh
73,12,"Hong Kong, China (SAR)",6.0,7.0,5.0,3.8,3.1,3.1 hhhh,3.1 hhhh,3.1 hhhh,3.2 hhhh,3.2 hhh
74,43,Hungary,46.6,36.5,25.6,21.0,19.6,19.3 hhhh,18.9 hhhh,18.6 hhhh,18.3 hhhh,18.0 hhh
75,9,Iceland,30.9,25.5,23.5,17.2,14.3,12.7 hhhh,11.0 hhhh,9.4 hhhh,7.7 hhhh,6.1 hhh
76,131,India,106.0,94.0,76.8,60.2,44.6,40.6 hhhh,36.5 hhhh,32.5 hhhh,28.5 hhhh,24.5 hhh
77,113,Indonesia,72.9,63.1,47.8,51.0,51.5,51.1 hhhh,50.8 hhhh,50.4 hhhh,50.0 hhhh,49.6 hhh
78,69,Iran (Islamic Republic of),111.4,75.4,48.6,33.5,31.1,30.2 hhhh,29.3 hhhh,28.5 hhhh,27.6 hhhh,26.7 hhh
79,121,Iraq,75.1,67.5,64.8,66.0,80.0,80.8 hhhh,81.6 hhhh,82.4 hhhh,83.2 hhhh,84.0 hhh
80,8,Ireland,15.0,16.0,19.0,19.0,16.3,15.1 hhhh,13.9 hhhh,12.8 hhhh,11.6 hhhh,10.4 hhh
81,19,Israel,21.9,19.3,17.7,16.1,14.0,13.1 hhhh,12.3 hhhh,11.4 hhhh,10.5 hhhh,9.7 hhh
82,26,Italy,10.0,7.7,6.4,7.0,6.9,6.7 hhhh,6.5 hhhh,6.4 hhhh,6.2 hhhh,6.0 hhh
83,94,Jamaica,112.8,103.4,94.5,82.4,73.5,70.7 hhhh,67.9 hhhh,65.2 hhhh,62.4 hhhh,59.7 hhh
84,17,Japan,4.0,4.0,4.4,5.8,5.1,4.9 hhhh,4.7 hhhh,4.5 hhhh,4.3 hhhh,4.1 hhh
