,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
104,145,Myanmar,10.7,11.3,11.7,12.9,15.3,16.4,17.6,18.8,20.0,20.0 aaa
105,125,Namibia,36.9,32.6,29.3,31.1,34.4,35.6,36.7,37.9,39.0,39.0 d
106,144,Nepal,27.5,29.4,30.0,34.4,38.2,39.0,39.7,40.5,41.2,41.2 aaa
107,7,Netherlands,83.6,85.9,88.3,90.4,90.6,90.2,90.5,89.6,90.3,90.3 d
108,13,New Zealand,66.1,65.7,74.3,83.0,93.2,95.3,95.5,97.1,98.7,98.7 d
109,124,Nicaragua,27.3,29.6,31.5,34.9,38.3,39.7,41.2,42.6,44.1,44.1 aaa
110,187,Niger,3.5,5.1,6.5,7.3,7.8,7.9,8.1,8.3,8.4,8.4 aaa
111,1,Norway,70.0,75.5,87.4,96.7,93.3,96.7,96.0,95.3,94.6,94.6 d
112,52,Oman,,,35.8,48.8,53.0,54.0,55.1,56.1,57.1,57.1 d
113,147,Pakistan,19.2,21.4,24.0,32.1,44.9,46.1,45.1,45.2,46.1,46.1 d
114,114,"Palestine, State of",,,49.6,51.8,56.1,57.5,59.4,60.4,61.2,61.2 d
115,60,Panama,36.8,41.3,45.6,52.7,59.7,61.3,62.9,64.5,66.1,66.1 d
116,154,Papua New Guinea,15.2,18.9,16.9,15.2,14.5,14.6,14.6,14.7,14.7,14.7 aaa
117,110,Paraguay,30.8,28.6,24.6,44.3,37.1,39.6,42.1,44.6,47.0,47.0 d
118,87,Peru,48.7,54.8,62.5,50.9,65.2,65.0,66.1,66.7,67.0,67.0 d
119,116,Philippines,47.6,48.5,49.3,62.7,65.6,66.7,67.9,69.0,70.3,70.3 d
120,36,Poland,61.3,70.1,73.6,78.6,84.3,85.0,85.5,86.2,86.9,86.9 d
121,41,Portugal,18.6,22.4,26.5,34.4,41.6,45.1,47.3,49.8,52.2,52.2 d
122,33,Qatar,39.4,43.1,46.7,55.8,46.7,50.1,59.0,69.4,67.8,67.8 d
123,50,Romania,77.5,82.0,83.8,87.8,90.9,91.6,92.0,92.5,92.2,92.2 d
124,49,Russian Federation,80.7,88.2,93.7,94.6,92.5,93.1,93.6,94.2,94.7,94.7 d
125,159,Rwanda,4.5,4.6,5.9,9.3,13.3,14.1,14.9,15.7,16.4,16.4 d
126,92,Saint Lucia,,,,,,,,42.0,42.0,42.0 d
127,104,Samoa,,,58.9,64.1,69.3,70.4,70.4,70.4,70.4,70.4 d
128,142,Sao Tome and Principe,,,,,44.8,44.8,44.8,44.8,44.8,44.8 d
129,38,Saudi Arabia,42.5,45.4,50.3,54.5,64.4,66.3,68.3,70.3,72.1,72.1 d
130,162,Senegal,3.1,4.6,6.8,10.1,14.6,15.5,17.0,18.6,19.2,19.2 d
131,66,Serbia,48.4,54.6,59.0,75.4,91.1,89.5,90.0,90.5,91.6,91.6 d
132,179,Sierra Leone,11.8,15.2,16.9,18.4,21.7,23.7,25.7,27.7,29.7,29.7 aaa
133,5,Singapore,34.6,52.5,70.7,75.2,79.9,80.5,81.0,81.8,81.9,81.9 d
134,40,Slovakia,70.1,80.0,95.2,97.7,97.1,97.0,99.5,99.5,99.5,99.5 d
135,25,Slovenia,81.4,87.8,94.3,95.6,97.0,97.4,98.0,98.3,98.3,98.3 d
136,119,South Africa,40.0,52.2,57.6,67.3,73.8,73.5,75.9,76.1,76.2,76.2 d
137,27,Spain,38.0,50.1,61.0,65.8,70.7,72.1,73.2,74.9,76.7,76.7 d
138,73,Sri Lanka,54.3,64.0,74.6,75.1,75.7,76.9,78.1,79.3,80.6,80.6 d
139,165,Sudan,10.7,13.4,16.3,17.8,18.2,18.4,18.5,18.7,18.8,18.8 aaa
140,97,Suriname,,,43.5,48.1,52.9,53.9,54.8,55.8,56.8,56.8 d
141,148,Swaziland,20.7,23.5,23.9,20.3,26.0,27.1,28.2,29.4,30.5,30.5 aaa
142,14,Sweden,69.3,74.0,81.1,87.4,86.0,86.7,87.3,87.8,88.3,88.3 d
143,2,Switzerland,70.0,70.8,70.7,75.3,96.0,96.2,96.6,97.0,97.4,97.4 d
144,149,Syrian Arab Republic,28.9,29.8,25.5,32.6,40.5,41.2,41.9,42.7,43.4,43.4 d
145,129,Tajikistan,83.7,90.5,95.0,96.8,91.2,90.5,89.7,89.0,88.2,88.2 d
146,151,Tanzania (United Republic of),83.7,7.7,7.9,9.7,12.6,13.2,13.7,14.5,15.3,15.3 d
147,87,Thailand,18.1,21.4,29.7,36.0,40.8,41.9,43.0,44.1,45.8,45.8 d
148,82,The former Yugoslav Republic of Macedonia,,,,,,,,,,55.6 d
149,166,Togo,30.1,33.0,35.1,37.0,35.3,31.4,33.0,34.5,36.1,36.1 d
150,101,Tonga,65.6,75.6,73.7,71.1,84.7,88.3,89.2,90.2,91.1,91.1 d
151,65,Trinidad and Tobago,36.7,43.2,50.9,56.2,60.2,62.2,64.3,66.3,68.4,68.4 d
152,97,Tunisia,27.0,31.9,37.0,41.9,46.1,47.3,46.6,48.3,49.9,49.9 d
153,71,Turkey,26.5,32.5,36.0,40.2,54.5,58.4,60.0,61.5,64.8,64.8 d
154,111,Turkmenistan,,93.6,,,,,,,,
155,163,Uganda,16.0,16.9,16.5,20.1,33.5,32.6,31.7,31.9,32.1,32.1 d
156,84,Ukraine,83.9,89.0,91.4,94.7,95.9,95.9,95.9,96.0,96.0,96.0 d
157,42,United Arab Emirates,42.2,53.0,61.1,60.1,61.2,62.1,62.9,63.7,64.5,64.5 d
158,16,United Kingdom,53.6,58.7,62.9,83.4,99.9,99.9,84.9,84.5,84.6,84.6 d
159,10,United States,83.4,95.6,94.4,93.5,94.6,94.8,94.8,95.0,95.1,95.1 d
160,54,Uruguay,34.9,39.6,50.5,49.8,48.2,49.0,50.3,50.6,51.6,51.6 d
161,105,Uzbekistan,,,,,,,,99.9,99.9,99.9 d
162,71,Venezuela (Bolivarian Republic of),25.2,29.2,34.0,41.5,55.4,60.1,61.7,63.3,65.0,65.0 d
163,115,Viet Nam,16.5,25.9,38.4,56.6,74.7,75.2,75.7,76.2,76.7,76.7 d
164,168,Yemen,2.0,6.9,12.9,18.4,26.7,28.3,29.9,31.5,33.2,33.2 aaa
165,139,Zambia,32.0,34.1,37.0,42.4,44.0,45.2,46.4,47.6,48.9,48.9 d
166,154,Zimbabwe,33.7,45.8,55.4,57.8,61.5,62.2,63.0,63.8,64.7,64.7 d
167,,,,,,,,,,,,
