,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
57,4,Germany,,29.4,,,21.4,,,,
58,139,Ghana,,,1.7,,,,,,
59,29,Greece,,,,,,,,,
60,79,Grenada,,,,5.0,,,,,7.0
61,125,Guatemala,,,,,,,,,
62,178,Guinea-Bissau,,,0.6,,,,,,
63,127,Guyana,,,0.6,,0.5,,,,
64,163,Haiti,,9.2,,,,,,,
65,43,Hungary,,,,,,,4.9,,
66,9,Iceland,,,,,,,2.1,,1.8
67,131,India,26.2,,31.9,,33.9,,,,
68,113,Indonesia,3.7,,5.6,,,,,,
69,69,Iran (Islamic Republic of),,50.9,,,,,,,
70,121,Iraq,47.6,60.5,73.4,,,,,,
71,8,Ireland,,,,,,,,,
72,19,Israel,89.0,86.1,,,,,,,
73,26,Italy,,,23.6,,,,,,
74,94,Jamaica,,,,,,,,,
75,17,Japan,,,,,,,,,
76,86,Jordan,,,,92.4,,,,,
77,56,Kazakhstan,,30.7,,,18.4,,,,
78,146,Kenya,6.7,,,,10.5,,,,
79,0,Korea (Democratic People's Rep. of),,,,11.2,,,,,
80,18,Korea (Republic of),29.5,,,41.9,,,,,
81,120,Kyrgyzstan,,,42.7,,,,,,
82,138,Lao People's Democratic Republic,,,,1.0,,,,,
83,44,Latvia,,1.2,,,,,0.7,0.7,
84,76,Lebanon,,29.3,28.1,24.3,,,,,
85,160,Lesotho,,,1.4,,,,,,
86,177,Liberia,,,0.1,,,,,,
87,102,Libya,680.0,,615.4,688.9,,,822.9,,
88,37,Lithuania,,17.7,,,,2.6,,,
89,20,Luxembourg,,1.6,,,,,1.3,1.2,
90,158,Madagascar,,,4.9,,,,,,
91,170,Malawi,,,,7.9,,,,,
92,59,Malaysia,1.7,,1.6,1.9,,,,,
93,105,Maldives,,,,,,,,,
94,175,Mali,,,,,,,,,
95,33,Malta,,58.4,,,,,33.7,44.4,
96,157,Mauritania,,,14.0,11.8,,,,,
97,64,Mauritius,20.6,22.4,22.2,,,,,,
98,77,Mexico,,,,,,17.2,,,
99,107,Moldova (Republic of),,,,,,,,,
100,92,Mongolia,,,,,,,,,
101,123,Morocco,,38.8,,,35.7,,,,
102,181,Mozambique,0.3,,,,,,,,
103,145,Myanmar,,,2.8,,,,,,
104,125,Namibia,,0.7,,,,,,,
105,144,Nepal,,,4.5,,,,,,
106,7,Netherlands,,,,,,,11.8,,
107,13,New Zealand,,,,,1.6,,,,
108,124,Nicaragua,,,,,,0.9,,,
109,187,Niger,1.5,,,2.9,,,,,
110,152,Nigeria,,,3.6,4.6,,,,,
111,1,Norway,,,,,,,,,
112,52,Oman,,,92.9,,,,,,
113,147,Pakistan,,,69.9,,,,,,
114,114,"Palestine, State of",,,,48.8,,,,,
115,60,Panama,,,,,0.7,,,,
116,154,Papua New Guinea,,,0.0,0.0,,,,,
117,110,Paraguay,,,0.1,,,,0.6,,
118,87,Peru,,,,,,,,,
119,116,Philippines,,,,,,,,,
120,36,Poland,,,,,,,19.0,,
121,41,Portugal,,,,,,,,,
122,33,Qatar,,,282.6,374.1,,,,,
123,50,Romania,9.6,,,,,,3.1,3.0,
124,49,Russian Federation,,,,,,,,1.3,
125,159,Rwanda,,,1.1,,,,,,
126,74,Saint Kitts and Nevis,,,,,,,51.3,,
127,92,Saint Lucia,,,,,,,,,
128,99,Saint Vincent and the Grenadines,,10.0,,,,,,7.9,
129,38,Saudi Arabia,,,,,,,,,
130,66,Serbia,,,,,,,2.4,2.6,
131,179,Sierra Leone,,,0.1,0.1,,,,,
132,40,Slovakia,,,,,,,1.3,,1.1
133,25,Slovenia,,,,,,,2.9,3.6,
134,0,Somalia,,,22.4,,,,,,
135,119,South Africa,25.9,25.1,24.8,,,,,30.2,
136,181,South Sudan,,,,,,1.3,,,
137,27,Spain,,,,,,,33.0,,
138,73,Sri Lanka,18.5,,24.6,24.5,,,,,
139,165,Sudan,,,,,,71.2,,,
140,97,Suriname,,,0.7,,,,,,
141,148,Swaziland,,,23.1,,,,,,
142,14,Sweden,,,,,1.5,,,,
143,2,Switzerland,,,,,,,3.7,,
144,149,Syrian Arab Republic,,,,84.2,,,,,
145,129,Tajikistan,,,53.2,,,,,,
146,87,Thailand,,,,,,,,,
147,82,The former Yugoslav Republic of Macedonia,,,,,,,,,
148,65,Trinidad and Tobago,,,8.2,8.0,,8.8,,,
149,97,Tunisia,66.5,61.7,,,,69.7,,,
150,71,Turkey,,,19.9,,,,,,
151,111,Turkmenistan,,,100.6,,,,,,
152,163,Uganda,,,,,,,,,
153,84,Ukraine,,,10.4,8.6,8.5,,,,
154,42,United Arab Emirates,,1149.0,1556.0,1867.0,,,,,
155,16,United Kingdom,8.2,8.2,,,,,5.5,,
156,10,United States,15.2,,15.4,15.6,13.6,,,,
157,54,Uruguay,,,2.1,,,,,,
158,105,Uzbekistan,,,,100.6,,,,,
159,71,Venezuela (Bolivarian Republic of),,,0.7,,,,,,
160,115,Viet Nam,,,,9.3,,,,,
161,168,Yemen,139.1,,161.1,168.6,,,,,
162,139,Zambia,,1.5,,,,,,,
163,154,Zimbabwe,,,,,,,,,
164,,,,,,,,,,,
