,HDI Rank,Country,1991,1995,2000,2005,2010,2011,2012,2013
75,125,Namibia,,,,,,,,
76,144,Nepal,,,,,43.9,,,
77,124,Nicaragua,,,,33.7,,,,
78,187,Niger,,,,88.2,,85.1,,
79,152,Nigeria,,,,,70.0,,72.3,
80,147,Pakistan,83.6,,,54.1,37.1,,,
81,114,"Palestine, State of",,,,3.1,,,,
82,60,Panama,21.8,18.3,16.6,15.5,11.3,10.5,10.9,10.4
83,154,Papua New Guinea,,,,,66.5,,,
84,110,Paraguay,,14.8,,10.6,8.6,8.4,7.0,6.0
85,87,Peru,,,32.5,27.7,15.7,14.1,13.1,12.2
86,116,Philippines,50.9,,40.3,,,,32.0,
87,49,Russian Federation,,,5.3,4.2,3.7,3.8,3.9,
88,159,Rwanda,,,88.4,,,82.1,,
89,162,Senegal,85.7,,,63.2,,63.8,,
90,66,Serbia,,,,0.6,0.4,,,
91,179,Sierra Leone,,,,,,81.4,,
92,156,Solomon Islands,,,,52.6,,,,
93,0,Somalia,,,,76.7,,,,
94,119,South Africa,,29.9,30.5,,,16.6,,
95,73,Sri Lanka,38.8,,,,,,,12.2
96,165,Sudan,,,,,,,,
97,148,Swaziland,,35.3,,,,,,
98,149,Syrian Arab Republic,,,,,,,,
99,129,Tajikistan,,,,,,,,
100,151,Tanzania (United Republic of),,,89.3,,,,72.6,
101,87,Thailand,,,13.6,,1.7,1.5,1.5,
102,82,The former Yugoslav Republic of Macedonia,,,3.6,2.3,,,,
103,133,Timor-Leste,,,,,,,,
104,166,Togo,,,,,,65.7,,
105,97,Tunisia,,16.9,10.1,5.6,4.6,,,
106,71,Turkey,,,,5.9,3.9,4.3,4.0,
107,163,Uganda,,,,74.1,,,60.6,
108,84,Ukraine,,9.6,,3.1,1.9,2.0,2.0,1.9
109,54,Uruguay,,,,,5.3,5.4,5.4,5.3
110,105,Uzbekistan,,,70.5,,,,,
111,71,Venezuela (Bolivarian Republic of),,10.9,,13.1,,,,
112,115,Viet Nam,,,,,20.6,,14.6,
113,168,Yemen,,,,50.5,,,,
114,139,Zambia,70.6,,,,78.4,,,
115,154,Zimbabwe,,,,82.9,,,,
116,,,,,,,,,,
