,HDI Rank,Country,1995,1997,2000,2005,2010,2011,2012,2013,2014,2015
130,147,Pakistan,2.6 ddd,2.6,,20.6,21.0,21.3,21.1,19.7,19.7,20.0
131,60,Palau,3.3 ddd,3.3,3.3,0.1,6.9,6.9,10.3,10.3,10.3,10.3
132,60,Panama,9.7 ddd,9.7,9.9,16.7,8.5,8.5,8.5,8.5,19.3,18.3
133,154,Papua New Guinea,1.8 ddd,1.8,1.8,0.9,0.9,0.9,2.7,2.7,2.7,2.7
134,110,Paraguay,5.6 ddd,5.6,8.0,9.6,13.6,13.6,13.6,18.4,16.8,16.8
135,87,Peru,10.8 ddd,10.8,,18.3,27.5,21.5,21.5,21.5,22.3,22.3
136,116,Philippines,11.6 ddd,11.6,11.8,15.4,21.5,22.1,22.1,27.2,27.2,27.1
137,36,Poland,12.7 ddd,12.7,12.7,19.1,17.9,21.8,21.8,21.8,22.3,24.8
138,41,Portugal,13.0 ddd,13.0,17.4,21.3,27.4,28.7,28.7,31.3,31.3,34.8
139,33,Qatar,,,,,0.1,0.1,0.1,0.1,0.1,0.1 m
140,50,Romania,5.6 ddd,5.6,,10.7,9.8,9.7,11.6,11.6,11.7,12.0
141,49,Russian Federation,7.5 ddd,7.5,5.7,8.0,11.5,11.1,12.1,12.1,12.1,14.5
142,159,Rwanda,17.1 ddd,17.1,25.7,45.3,50.9,51.9,51.9,57.5,57.5,57.5
143,74,Saint Kitts and Nevis,13.3 ddd,13.3,13.3,0.1,6.7,6.7,6.7,6.7,6.7,13.3
144,92,Saint Lucia,14.3 ddd,14.3,13.8,20.7,20.7,24.1,17.2,17.2,17.2,20.7
145,99,Saint Vincent and the Grenadines,9.5 ddd,9.5,4.8,18.2,14.3,17.4,17.4,13.0,13.0,13.0
146,104,Samoa,4.1 ddd,4.1,8.2,6.1,8.2,4.1,4.1,4.1,6.1,6.1
147,0,San Marino,11.7 ddd,11.7,13.3,16.7,16.7,18.3,16.7,18.3,18.3,16.7
148,142,Sao Tome and Principe,7.3 ddd,7.3,9.1,9.1,18.2,18.2,18.2,18.2,18.2,18.2
149,38,Saudi Arabia,,,,0.1,0.1,0.1,0.1,19.9,19.9,19.9
150,162,Senegal,11.7 ddd,11.7,14.0,19.2,29.6,29.6,42.7,42.7,43.3,42.7
