,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
151,38,Saudi Arabia,2.2,12.7,41.0,47.5,54.0,60.5,64.7,69.6
152,162,Senegal,0.4,4.8,8.0,9.8,10.8,13.1,17.7,21.7
153,66,Serbia,,26.3,40.9,42.2,48.1,53.5,62.1,65.3
154,63,Seychelles,7.4,25.4,41.0,43.2,47.1,50.4,54.3,58.1
155,179,Sierra Leone,0.1,0.2,0.6,0.9,1.3,1.7,2.1,2.5
156,5,Singapore,36.0,61.0,71.0,71.0,72.0,80.9,79.0,82.1
157,40,Slovakia,9.4,55.2,75.7,74.4,76.7,77.9,80.0,85.0
158,25,Slovenia,15.1,46.8,70.0,67.3,68.3,72.7,71.6,73.1
159,156,Solomon Islands,0.5,0.8,5.0,6.0,7.0,8.0,9.0,10.0
160,0,Somalia,0.0,1.1,,1.3,1.4,1.5,1.6,1.8
161,119,South Africa,5.3,7.5,24.0,34.0,41.0,46.5,49.0,51.9
162,181,South Sudan,,,7.0,,,14.1,15.9,17.9
163,27,Spain,13.6,47.9,65.8,67.6,69.8,71.6,76.2,78.7
164,73,Sri Lanka,0.6,1.8,12.0,15.0,18.3,21.9,25.8,30.0
165,165,Sudan,0.0,1.3,16.7,17.5,21.0,22.7,24.6,26.6
166,97,Suriname,2.5,6.4,31.6,32.0,34.7,37.4,40.1,42.8
167,148,Swaziland,0.9,3.7,11.0,18.1,20.8,24.7,27.1,30.4
168,14,Sweden,45.7,84.8,90.0,92.8,93.2,94.8,92.5,90.6
169,2,Switzerland,47.1,70.1,83.9,85.2,85.2,86.3,87.4,88.0
170,149,Syrian Arab Republic,0.2,5.6,20.7,22.5,24.3,26.2,28.1,30.0
171,129,Tajikistan,0.0,0.3,11.6,13.0,14.5,16.0,17.5,19.0
172,151,Tanzania (United Republic of),0.1,1.1,2.9,3.2,4.0,4.4,4.9,5.4
173,87,Thailand,3.7,15.0,22.4,23.7,26.5,28.9,34.9,39.3
174,82,The former Yugoslav Republic of Macedonia,2.5,26.4,51.9,56.7,57.5,65.2,68.1,70.4
175,133,Timor-Leste,,0.1,0.2,0.9,2.3,8.0,11.3,13.4
176,166,Togo,0.8,1.8,3.0,3.5,4.0,4.5,5.7,7.1
177,101,Tonga,2.4,4.9,16.0,25.0,33.0,35.0,40.0,45.0
178,65,Trinidad and Tobago,7.7,29.0,48.5,55.2,59.5,63.8,65.1,69.2
179,97,Tunisia,2.8,9.7,36.8,39.1,41.4,43.8,46.2,48.5
180,71,Turkey,3.8,15.5,39.8,43.1,45.1,46.3,51.0,53.7
181,111,Turkmenistan,0.1,1.0,3.0,5.0,7.2,9.6,12.2,15.0
182,0,Tuvalu,5.2,,25.0,30.0,35.0,37.0,39.2,42.7
183,163,Uganda,0.2,1.7,12.5,13.0,14.7,16.2,17.7,19.2
184,84,Ukraine,0.7,3.8,23.3,28.7,35.3,41.0,46.2,49.3
185,42,United Arab Emirates,23.6,40.0,68.0,78.0,85.0,88.0,90.4,91.2
186,16,United Kingdom,26.8,70.0,85.0,85.4,87.5,89.8,91.6,92.0
187,10,United States,43.1,68.0,71.7,69.7,74.7,71.4,73.0,74.5
188,54,Uruguay,10.5,20.1,46.4,51.4,54.5,57.7,61.5,64.6
189,105,Uzbekistan,0.5,3.3,15.9,18.6,23.6,26.8,35.5,42.8
190,134,Vanuatu,2.1,5.1,8.0,9.2,10.6,11.3,18.8,22.4
191,71,Venezuela (Bolivarian Republic of),3.4,12.6,37.4,40.2,49.0,54.9,57.0,61.9
192,115,Viet Nam,0.3,12.7,30.6,35.1,39.5,43.9,48.3,52.7
193,168,Yemen,0.1,1.0,12.3,14.9,17.4,20.0,22.6,25.1
194,139,Zambia,0.2,2.9,10.0,11.5,13.5,15.4,19.0,21.0
195,154,Zimbabwe,0.4,2.4,6.4,8.4,12.0,15.5,16.3,16.4
196,,,,,,,,,,
