,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014,2015
93,64,Mauritius,0.479 eee,0.452,0.369,0.382,0.370,0.369,0.361,0.355,0.380
94,77,Mexico,0.508 eee,0.493,0.431,0.401,0.393,0.369,0.364,0.355,0.345
95,107,Moldova (Republic of),0.486 eee,0.425,0.292,0.286,0.257,0.255,0.247,0.250,0.232
96,92,Mongolia,0.500 eee,0.450,0.410,0.406,0.397,0.300,0.292,0.283,0.278
97,48,Montenegro,,,,0.218,0.203,0.175,0.174,0.163,0.156
98,123,Morocco,0.713 eee,0.696,0.580,0.563,0.530,0.527,0.522,0.517,0.494
99,181,Mozambique,0.664 eee,0.645,0.638,0.617,0.607,0.596,0.587,,0.574
100,145,Myanmar,,,,0.459,0.476,0.446,0.443,0.443,0.374
101,125,Namibia,0.555 eee,0.546,0.525,0.512,0.510,0.506,0.501,,0.474
102,144,Nepal,0.710 eee,0.670,0.653,0.537,0.528,0.518,,0.506,0.497
103,7,Netherlands,0.113 eee,0.096,0.082,0.054,0.050,0.049,0.047,0.044,0.044
104,13,New Zealand,0.222 eee,0.190,0.188,0.186,0.179,0.175,0.171,0.165,0.158
105,124,Nicaragua,0.629 eee,0.602,0.541,0.520,0.477,0.479,0.474,0.466,0.462
106,187,Niger,0.831 eee,0.818,0.730,,0.712,0.707,0.702,0.698,0.695
107,1,Norway,0.122 eee,0.109,0.085,0.075,0.071,0.067,0.062,0.057,0.053
108,52,Oman,,,0.387,0.323,0.311,0.302,0.294,0.284,0.281
109,147,Pakistan,0.766 eee,,0.595,0.570,0.569,0.556,0.555,0.550,0.546
110,60,Panama,0.517 eee,0.507,0.472,0.515,0.517,0.512,0.507,0.458,0.457
111,154,Papua New Guinea,0.668 eee,0.663,0.682,0.667,0.662,0.605,0.602,0.597,0.595
112,110,Paraguay,0.575 eee,0.557,0.537,0.501,0.499,0.491,0.469,0.468,0.464
113,87,Peru,0.547 eee,,0.456,0.406,0.412,0.400,0.394,0.389,0.385
114,116,Philippines,0.483 eee,0.479,0.467,0.449,,,0.437,0.436,0.436
115,36,Poland,0.258 eee,0.205,0.164,0.170,0.155,0.152,0.150,0.146,0.137
116,41,Portugal,0.243 eee,0.208,0.182,0.141,0.128,0.127,0.110,0.103,0.091
117,33,Qatar,,,,0.579,0.554,0.556,0.552,0.546,0.542
118,50,Romania,0.474 eee,,0.355,0.358,0.355,0.343,0.344,0.342,0.339
119,49,Russian Federation,0.467 eee,0.423,0.359,0.315,0.308,0.296,0.290,0.286,0.271
120,159,Rwanda,0.583 eee,0.552,0.484,0.444,0.433,0.422,0.405,0.394,0.383
121,92,Saint Lucia,,,,,,,0.370,0.367,0.354
122,104,Samoa,,0.496,0.493,0.456,0.491,0.485,0.478,0.445,0.439
123,142,Sao Tome and Principe,,,,0.533,0.531,0.530,0.529,0.527,0.524
