,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
107,144,Nepal,,,,,,,44.7,39.6,29.9
108,7,Netherlands,,,1.5,,,,,,
109,124,Nicaragua,72.9,61.6,48.2,49.8,,,,,
110,187,Niger,49.9,,30.9,,30.7,,39.7,35.6,
111,152,Nigeria,,,,22.3,,,,,
112,1,Norway,5.2,,1.0,0.8,0.7,1.5,1.5,0.4,
113,52,Oman,33.8,,5.5,,,6.4,1.3,,
114,147,Pakistan,,,,,47.8,39.0,37.6,20.4,
115,114,"Palestine, State of",,17.9,2.2,,3.7,0.7,3.5,2.5,
116,60,Panama,,,13.8,14.8,6.2,8.4,6.8,,
117,154,Papua New Guinea,51.6,50.8,,,,,,,
118,110,Paraguay,55.3,44.8,,23.8,19.9,15.9,,,
119,87,Peru,,30.7,19.1,15.1,18.5,26.1,,9.5,
120,116,Philippines,39.1,,,29.6,,,,,
121,36,Poland,9.0,,0.8,1.6,1.5,,,,
122,33,Qatar,,,,14.8,,,2.3,,
123,50,Romania,,17.3,5.5,6.3,5.2,6.0,,,
124,49,Russian Federation,,8.9,1.8,,,3.4,2.7,3.6,
125,159,Rwanda,59.1,,68.9,,,64.4,65.3,,
126,74,Saint Kitts and Nevis,,,26.3,,,,7.2,,
127,92,Saint Lucia,,,,,8.2,10.4,,9.9,
128,99,Saint Vincent and the Grenadines,,,,,31.4,,,,
129,104,Samoa,,,9.4,15.3,23.4,10.1,,,
130,0,San Marino,,,,,,3.8,,,
131,142,Sao Tome and Principe,35.3,,,,,,,,20.5
132,38,Saudi Arabia,,,,,,1.3,,,
133,162,Senegal,30.9,,37.1,46.5,40.8,38.6,,,
134,66,Serbia,,,,,1.9,1.6,0.8,1.7,
135,63,Seychelles,,,10.1,,,,,,
136,179,Sierra Leone,,,,,,,52.2,,
137,5,Singapore,,,,,,,,,
138,40,Slovakia,,0.7,2.8,2.6,1.9,2.0,1.8,2.1,
139,25,Slovenia,,2.2,,,1.4,1.2,0.4,1.0,
140,156,Solomon Islands,39.4,,,,24.8,36.6,25.1,28.5,
141,27,Spain,,,,0.6,2.2,2.9,,3.7,
142,73,Sri Lanka,6.8,,,1.3,2.7,3.4,1.5,1.8,
143,165,Sudan,,,,,,20.1,20.6,,
144,97,Suriname,,,,25.3,,,,14.1,
145,148,Swaziland,51.2,44.7,41.5,17.0,32.7,,25.3,,
146,14,Sweden,,,0.7,1.1,4.4,,0.3,0.4,
147,2,Switzerland,50.3,,,,,,,,
148,149,Syrian Arab Republic,,18.9,11.3,7.8,4.4,6.8,83.9,,
149,129,Tajikistan,,,4.5,0.6,1.1,2.0,,1.6,1.4
150,151,Tanzania (United Republic of),,,26.1,20.8,,,33.3,,
151,87,Thailand,,,6.4,,,,,6.5,
152,82,The former Yugoslav Republic of Macedonia,,5.4,3.4,5.6,,,,,
153,133,Timor-Leste,,,,,16.4,21.8,22.7,18.8,
154,166,Togo,64.7,66.0,29.8,19.4,48.3,32.9,37.6,47.2,
155,101,Tonga,,,8.9,9.6,,,,,
156,65,Trinidad and Tobago,,,11.2,,,,,,
157,97,Tunisia,28.2,,11.7,,,,5.9,6.0,
158,71,Turkey,,4.5,,2.2,5.0,10.0,,,
159,163,Uganda,,,61.8,,75.2,,,,
160,84,Ukraine,,,3.1,2.4,1.8,1.9,0.6,1.5,
161,42,United Arab Emirates,36.8,23.5,6.1,2.1,15.6,,8.0,,
162,54,Uruguay,4.1,11.6,13.3,7.6,,,,,
163,105,Uzbekistan,,8.2,2.3,1.6,1.9,,,,
164,134,Vanuatu,,,,,,,,,
165,71,Venezuela (Bolivarian Republic of),34.8,,,9.9,5.4,6.1,4.9,12.8,
166,115,Viet Nam,,,14.3,7.9,6.2,2.5,5.5,10.4,
167,168,Yemen,,,,,,,30.5,,
168,139,Zambia,,,,25.0,,,44.5,,
169,154,Zimbabwe,,,,,,,23.1,,
170,,,,,,,,,,,
