,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
162,101,Tonga,6216,6644,6384,6484,6494,6296 ee,6402,6602
163,65,Trinidad and Tobago,22239,31394,35542,32648,32329,34695 ee,34791,35179
164,97,Tunisia,11791,13377,15701,15142,15622,15800 ee,15993,15967
165,71,Turkey,18953,24263,23907,25570,25671,26765 ee,26469,27034
166,111,Turkmenistan,6472,7953,12124,13754,15091,16423 ee,17919,18856
167,163,Uganda,1371,1725,2176,2013,2025,2040 ee,2050,2075
168,84,Ukraine,5997,9231,9533,10110,10068,10107 ee,10041,9181
169,42,United Arab Emirates,145692,121996,68375,68697,71863,74666 ee,78102,80421
170,16,United Kingdom,42169,46567,48512,49045,48397,48650 ee,49206,49885
171,10,United States,57405,61894,60717,61324,62113,62567 ee,63583,64406
172,54,Uruguay,16943,16431,20779,21816,22570,23425 ee,23984,24014
173,105,Uzbekistan,3247,4067,5726,6105,6442,6953 ee,7351,7668
174,134,Vanuatu,3159,3021,3490,3483,3342,3539 ee,3560,3453
175,71,Venezuela (Bolivarian Republic of),19823,18501,20328,20744,21434,21255 ee,20095,18707
176,115,Viet Nam,3080,3791,4825,5024,5175,5357 ee,5573,5845
177,168,Yemen,5869,6196,6282,5181,5164,5230 ee,5057,3530
178,139,Zambia,2393,2773,3594,3782,4066,4081 ee,4122,4126
179,154,Zimbabwe,2893,1851,1482,1593,1728,1769 ee,1795,1822
180,,,,,,,,,,
