,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014
158,181,South Sudan,,,,,,0.9,0.9,1.1
159,27,Spain,5.4,5.2,5.9,7.2,7.0,6.7,6.5,6.4
160,73,Sri Lanka,1.6,1.8,1.9,1.6,1.4,1.2,2.1,2.0
161,165,Sudan,0.8,0.9,1.1,2.7,2.6,1.9,1.9,1.8
162,97,Suriname,4.5,5.6,3.5,2.9,2.9,3.2,3.2,2.9
163,148,Swaziland,2.8,3.0,4.6,6.0,6.0,6.3,7.4,7.0
164,14,Sweden,6.9,6.9,7.4,7.7,9.9,10.0,10.1,10.0
165,2,Switzerland,5.0,5.5,6.5,7.1,7.2,7.5,7.7,7.7
166,149,Syrian Arab Republic,2.2,2.0,2.1,1.5,1.5,1.5,1.5,1.5
167,129,Tajikistan,1.3,0.9,1.1,1.6,1.7,1.9,2.1,2.0
168,151,Tanzania (United Republic of),1.4,1.1,3.0,2.1,2.5,2.8,2.6,2.6
169,87,Thailand,2.0,2.3,3.4,4.4,5.0,5.2,5.3,5.6
170,82,The former Yugoslav Republic of Macedonia,5.0,4.8,4.8,4.3,4.3,4.4,4.2,4.1
171,133,Timor-Leste,,1.2,0.6,0.8,0.7,0.9,1.2,1.3
172,166,Togo,1.5,1.4,1.9,1.9,1.7,1.9,2.1,2.0
173,101,Tonga,2.7,3.4,5.7,3.7,3.2,3.6,4.1,4.3
174,65,Trinidad and Tobago,2.6,2.0,2.6,3.0,2.7,2.9,3.1,3.2
175,97,Tunisia,2.9,3.0,2.9,3.8,4.2,4.2,4.2,4.0
176,71,Turkey,1.8,3.1,3.7,4.4,4.2,4.1,4.2,4.2
177,111,Turkmenistan,1.9,3.2,2.0,1.2,1.3,1.3,1.4,1.3
178,0,Tuvalu,8.0,15.7,18.2,16.6,16.8,13.6,16.5,16.4
179,163,Uganda,1.4,1.8,2.4,3.1,2.6,2.2,2.1,1.8
180,84,Ukraine,5.1,2.9,3.8,4.4,3.7,4.1,4.2,3.6
181,42,United Arab Emirates,2.1,1.7,1.4,2.8,2.7,2.5,2.6,2.6
182,16,United Kingdom,5.6,5.5,6.7,7.9,7.8,7.8,7.8,7.6
183,10,United States,5.9,5.7,6.7,8.1,8.1,8.0,8.0,8.3
184,54,Uruguay,3.9,2.7,7.1,5.4,5.5,5.9,6.1,6.1
185,105,Uzbekistan,3.6,2.5,2.3,2.8,2.9,3.1,3.1,3.1
186,134,Vanuatu,2.1,2.7,3.3,4.2,3.3,3.2,3.4,4.5
187,71,Venezuela (Bolivarian Republic of),1.8,2.2,2.2,2.1,2.3,1.7,1.5,1.5
188,115,Viet Nam,1.8,1.5,1.4,3.0,2.8,3.7,3.8,3.8
189,168,Yemen,1.4,2.2,1.6,1.3,1.4,1.6,1.4,1.3
190,139,Zambia,2.2,3.7,4.0,2.3,2.1,2.5,2.8,2.8
191,154,Zimbabwe,,4.4,2.7,1.7,2.1,2.8,2.8,2.5
192,,,,,,,,,,
