,HDI Rank,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
54,158,Madagascar,,,,,54.6,,,,,,
55,170,Malawi,,,,,,49.8,,,,48.6,
56,105,Maldives,,,,,37.5,,,,,,
57,175,Mali,,62.4,,,,,,,58.2,,
58,157,Mauritania,,,54.9,,,,52.4,,,,
59,77,Mexico,,40.9,,,,,,39.9,,,
60,107,Moldova (Republic of),38.8,,,,,,,38.4,,,
61,92,Mongolia,42.0,,,,,42.5,,,,,
62,48,Montenegro,,40.1,,,,,,,38.9,,
63,123,Morocco,,,,,,,44.3,,,,
64,181,Mozambique,,,,,56.5,,55.6,,,,
65,125,Namibia,,,47.5,,,,,,45.5,,
66,144,Nepal,,50.6,,,,,47.4,,,43.7,
67,124,Nicaragua,,,49.2,,,,45.6,,,,
68,187,Niger,,72.5,,,,,,65.0,,,
69,152,Nigeria,,,,54.7,,,55.2,,54.8,,
70,147,Pakistan,,,50.0,,,,,,52.0,,
71,114,"Palestine, State of",,,36.9,,,37.4,,,,38.2,
72,87,Peru,,,,42.7,,42.1,42.2,41.4,,,
73,116,Philippines,,,,51.9,,,,,51.9,,
74,159,Rwanda,55.6,,,,,49.7,,,,,47.0
75,92,Saint Lucia,,,,,,,,34.5,,,
76,142,Sao Tome and Principe,,,,,45.5,,,,,,
77,162,Senegal,61.3,,,,,,56.2,,54.0,53.5,
78,66,Serbia,,38.3,,,,39.9,,,,40.6,
79,179,Sierra Leone,,,,56.6,,55.8,,,53.0,,
80,0,Somalia,,61.1,,,,,,,,,
81,119,South Africa,,,,41.5,,,,39.6,,,
82,181,South Sudan,,,,,,61.7,,,,,
83,165,Sudan,,,,,,54.6,,,,,
84,97,Suriname,,47.4,,,,43.1,,,,,
85,148,Swaziland,,,,,,43.5,,,,,
86,149,Syrian Arab Republic,,38.0,,,39.1,,,,,,
87,129,Tajikistan,39.8,,,,,,,39.0,,,
88,151,Tanzania (United Republic of),,,,,,50.4,,,,,
89,87,Thailand,,38.8,,,,,,,,,
90,82,The former Yugoslav Republic of Macedonia,42.2,,,,,,38.4,,,,
91,133,Timor-Leste,,,,,,50.1,,,,,
92,166,Togo,,52.2,,,,51.2,,,,49.9,
93,65,Trinidad and Tobago,,38.0,,,,,,,,,
94,97,Tunisia,,,,,,,,39.3,,,
95,111,Turkmenistan,,37.0,,,,,,,,,
96,163,Uganda,,53.6,,,,,51.1,,,,
97,84,Ukraine,,,34.3,,,,,34.5,,,
98,105,Uzbekistan,,36.6,,,,,,,,,
99,134,Vanuatu,,,43.1,,,,,,,,
100,115,Viet Nam,,,,,,,40.7,,,39.9,
101,168,Yemen,,50.9,,,,,,,50.1,,
102,139,Zambia,,,50.7,,,,,,,48.6,
103,154,Zimbabwe,,45.4,,,,,44.1,,,44.1,
104,,,,,,,,,,,,,
