,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
88,157,Mauritania,24.6,17.1,17.1,8.4,8.7,7.6 jj,8.1 jj,5.4 jj,5.0
89,64,Mauritius,3.4,0.6,0.4,0.6,1.3,1.7 jj,1.5 jj,1.2 jj,0.4
90,77,Mexico,0.1,0.1,-0.0,0.0,0.0,0.1 jj,0.0 jj,0.0 jj,0.1
91,127,Micronesia (Federated States of),,33.0,42.4,41.2,20.8,41.6 jj,41.9 jj,41.8 jj,33.9
92,107,Moldova (Republic of),,,9.4,5.1,7.5,6.1 jj,5.8 jj,3.9 jj,5.9
93,92,Mongolia,0.5,14.7,19.2,8.9,4.6,3.7 jj,3.9 jj,3.6 jj,2.8
94,48,Montenegro,,,,0.2,1.9,2.8 jj,2.5 jj,2.6 jj,2.2
95,123,Morocco,4.2,1.3,1.1,1.2,1.1,1.4 jj,1.5 jj,1.9 jj,2.1
96,181,Mozambique,41.2,44.0,18.8,17.6,19.8,16.0 jj,14.3 jj,14.5 jj,12.6
97,145,Myanmar,,,,,,,0.7 jj,6.9 jj,2.2
98,125,Namibia,4.2,4.6,3.9,1.8,2.4,2.3 jj,2.0 jj,2.1 jj,1.8
99,144,Nepal,11.6,9.7,7.0,5.2,5.1,4.7 jj,4.0 jj,4.5 jj,4.4
100,124,Nicaragua,33.4,17.2,11.4,12.4,7.8,7.3 jj,5.3 jj,4.7 jj,3.8
101,187,Niger,16.0,14.9,11.7,15.4,13.0,10.1 jj,13.1 jj,10.6 jj,11.3
102,152,Nigeria,0.9,0.8,0.4,6.5,0.6,0.5 jj,0.4 jj,0.5 jj,0.5
103,52,Oman,0.6,0.6,0.4,0.1,-0.0,,,,
104,147,Pakistan,2.7,1.3,1.0,1.4,1.6,1.6 jj,0.9 jj,0.9 jj,1.4
105,60,Palau,,145.1,28.0,12.9,16.1,14.8 jj,7.6 jj,16.3 jj,9.8
106,114,"Palestine, State of",,13.8,14.2,19.6,26.4,21.7 jj,16.5 jj,19.1 jj,17.5
107,60,Panama,1.8,0.5,0.1,0.2,0.5,0.3 jj,0.1 jj,0.0 jj,-0.4
108,154,Papua New Guinea,13.3,8.5,8.3,5.9,5.6,5.0 jj,4.6 jj,4.4 jj,3.5
109,110,Paraguay,,1.7,1.2,0.7,0.6,0.4 jj,0.4 jj,0.5 jj,0.2
110,87,Peru,1.5,0.7,0.8,0.6,-0.2,0.4 jj,0.2 jj,0.2 jj,0.2
111,116,Philippines,2.9,1.2,0.6,0.4,0.2,-0.1 jj,-0.0 jj,0.1 jj,0.2
112,33,Qatar,0.0,0.0,,,,,,,
113,159,Rwanda,11.3,53.5,18.7,22.6,18.2,19.9 jj,12.3 jj,14.7 jj,13.3
114,74,Saint Kitts and Nevis,4.0,1.4,1.0,0.5,1.7,2.3 jj,3.1 jj,3.8 jj,
115,92,Saint Lucia,3.3,9.3,1.5,1.2,3.4,2.8 jj,2.1 jj,1.9 jj,1.3
116,99,Saint Vincent and the Grenadines,6.7,15.6,1.6,1.5,2.5,2.7 jj,1.2 jj,1.1 jj,1.3
117,104,Samoa,,,10.1,9.9,23.1,13.9 jj,15.7 jj,15.5 jj,12.0
118,142,Sao Tome and Principe,,,,26.3,25.3,30.2 jj,18.5 jj,17.1 jj,11.5
119,38,Saudi Arabia,0.0,0.0,0.0,0.0,,,,,
120,162,Senegal,14.7,13.8,9.4,8.2,7.3,7.4 jj,7.7 jj,6.8 jj,7.2
121,66,Serbia,,,17.3,4.1,1.7,3.0 jj,2.8 jj,1.8 jj,0.9
122,63,Seychelles,10.0,2.6,4.0,1.8,6.1,2.2 jj,3.3 jj,1.9 jj,0.7
123,179,Sierra Leone,10.2,25.9,29.3,21.4,17.3,13.9 jj,12.7 jj,9.2 jj,18.9
124,5,Singapore,-0.0,0.0,,,,,,,
125,25,Slovenia,,0.2,0.3,,,,,,
126,156,Solomon Islands,22.0,14.9,15.7,47.8,68.6,50.5 jj,32.7 jj,27.4 jj,18.1
127,0,Somalia,,,,,,,,21.4 jj,21.1
128,119,South Africa,,0.3,0.4,0.3,0.3,0.3 jj,0.3 jj,0.4 jj,0.3
129,181,South Sudan,,,,,,3.8 jj,12.0 jj,11.4 jj,16.6
130,73,Sri Lanka,9.1,4.3,1.7,4.8,1.0,0.9 jj,0.7 jj,0.6 jj,0.6
131,165,Sudan,7.4,1.8,1.9,7.4,3.4,2.7 jj,2.3 jj,2.4 jj,1.2
132,97,Suriname,16.1,11.1,3.9,2.6,2.5,2.2 jj,0.8 jj,0.6 jj,0.2
133,148,Swaziland,4.6,3.2,0.8,1.7,2.8,2.6 jj,1.9 jj,2.8 jj,2.0
134,149,Syrian Arab Republic,7.4,3.1,0.9,0.3,,,,,
135,129,Tajikistan,,5.5,15.0,11.3,7.8,5.4 jj,5.2 jj,4.6 jj,3.1
136,151,Tanzania (United Republic of),28.6,17.0,10.6,9.0,9.5,7.3 jj,7.3 jj,7.8 jj,5.6
137,87,Thailand,0.9,0.5,0.6,-0.1,-0.0,-0.0 jj,-0.0 jj,0.0 jj,0.1
138,82,The former Yugoslav Republic of Macedonia,,1.8,6.8,3.7,2.1,1.9 jj,1.6 jj,1.9 jj,1.9
139,133,Timor-Leste,,,39.2,22.2,9.6,6.4 jj,5.8 jj,5.9 jj,7.7
140,166,Togo,16.2,15.1,5.5,4.0,14.6,16.9 jj,7.4 jj,6.5 jj,5.2
141,101,Tonga,25.5,18.8,9.9,12.4,18.4,20.6 jj,16.7 jj,18.3 jj,18.2
142,65,Trinidad and Tobago,0.4,0.5,-0.0,-0.0,0.0,,,,
143,97,Tunisia,3.3,0.4,1.1,1.2,1.3,2.1 jj,2.4 jj,1.6 jj,2.0
144,71,Turkey,0.9,0.2,0.1,0.1,0.1,0.4 jj,0.4 jj,0.3 jj,0.4
145,111,Turkmenistan,,1.2,1.3,0.4,0.2,0.2 jj,0.1 jj,0.1 jj,0.1
146,0,Tuvalu,,,,24.6,26.2,67.3 jj,42.3 jj,48.5 jj,63.3
147,163,Uganda,15.7,14.6,14.0,13.6,8.5,7.9 jj,7.2 jj,7.0 jj,6.2
148,84,Ukraine,,,,0.5,0.5,0.5 jj,0.4 jj,0.4 jj,1.1
149,54,Uruguay,0.6,0.3,0.1,0.1,0.1,0.0 jj,0.0 jj,0.1 jj,0.2
150,105,Uzbekistan,,0.6,1.4,1.2,0.6,0.4 jj,0.5 jj,0.5 jj,0.5
151,134,Vanuatu,30.5,21.0,17.7,10.7,16.0,11.8 jj,13.8 jj,11.4 jj,12.1
152,71,Venezuela (Bolivarian Republic of),0.2,0.1,0.1,0.0,0.0,0.0 jj,0.0 jj,0.0 jj,
153,115,Viet Nam,3.0,4.1,5.1,3.4,2.6,2.8 jj,2.8 jj,2.5 jj,2.4
154,168,Yemen,8.0,4.2,3.5,2.0,2.3,1.7 jj,2.3 jj,3.0 jj,
155,139,Zambia,15.8,57.0,23.1,15.2,4.9,4.6 jj,3.8 jj,4.2 jj,3.8
156,154,Zimbabwe,3.9,7.2,2.8,6.8,8.0,7.2 jj,8.7 jj,6.6 jj,5.8
157,,,,,,,,,,,
