,HDI Rank,Country,1990,1995,2000,2005,2010,2015
122,187,Niger,95.4,94.6,96.7,101.3,105.1,107.5
123,152,Nigeria,85.9,83.3,81.0,81.1,82.3,82.6
124,1,Norway,29.3 j,30.2 j,30.9 j,29.9 j,28.4 j,27.4 j
125,52,Oman,86.2,68.3,61.5,53.7,37.5,26.7
126,147,Pakistan,81.0,80.1,75.0,66.3,60.9,57.9
127,114,"Palestine, State of",98.5 w,98.6 w,95.9 w,87.9 w,77.4 w,70.8 w
128,60,Panama,60.4,54.8,51.1,47.4,44.6,41.7
129,154,Papua New Guinea,76.2,71.8,70.1,69.3,66.9,62.1
130,110,Paraguay,75.5,72.6,66.7,58.9,52.8,47.2
131,87,Peru,67.0,61.3,56.5,50.6,45.6,42.7
132,116,Philippines,73.2,69.6,66.1,62.4,54.0,50.3
133,36,Poland,38.9,35.1,28.5,23.2,20.9,21.5
134,41,Portugal,31.1,26.4,23.7,22.9,22.5,21.6
135,33,Qatar,40.3,36.7,35.8,31.2,15.8,18.6
136,50,Romania,36.1,31.0,27.3,23.1,23.2,23.1
137,49,Russian Federation,34.3,32.2,26.3,21.4,20.7,24.0
138,159,Rwanda,103.6,81.1,87.0,76.8,77.4,73.1
139,92,Saint Lucia,65.3,61.0,53.6,44.3,38.1,34.1
140,99,Saint Vincent and the Grenadines,67.9,58.4,51.0,44.4,39.7,36.0
141,104,Samoa,72.4,73.8,74.3,71.2,67.5,64.9
142,142,Sao Tome and Principe,100.2,91.2,87.6,83.2,81.7,78.5
143,38,Saudi Arabia,76.3,74.5,62.4,52.5,45.5,41.7
144,162,Senegal,94.4,90.5,87.2,83.6,82.0,82.1
145,66,Serbia,35.7 y,33.2 y,31.6 y,28.4 y,25.5 y,24.5 y
146,63,Seychelles,62.4,50.7,45.0,36.7,32.3,33.6
147,179,Sierra Leone,84.1,84.0,83.0,81.9,80.6,77.1
148,5,Singapore,29.4,31.2,30.1,26.4,23.5,21.4
149,40,Slovakia,39.5,34.3,28.5,23.5,21.0,21.3
150,25,Slovenia,30.2,26.2,22.6,19.9,20.1,22.0
151,156,Solomon Islands,87.8,80.2,75.9,74.1,72.7,69.1
152,0,Somalia,86.4,89.8,94.5,96.6,96.4,92.5
153,119,South Africa,67.3,59.4,57.0,51.7,48.3,44.5
154,181,South Sudan,83.4,84.5,86.0,84.3,81.4,77.3
155,27,Spain,30.0 z,24.5 z,21.5 z,20.7 z,21.4 z,22.4 z
156,73,Sri Lanka,51.4,45.8,39.9,37.9,37.8,37.2
157,165,Sudan,88.1,84.6,82.1,80.4,76.7,72.1
158,97,Suriname,55.4,56.8,55.1,46.2,43.8,40.4
