,HDI Rank,Country,1990,1995,2000,2005,2010,2015
135,33,Qatar,1.05,1.06,1.04,1.05,1.04,1.05 hhh
136,50,Romania,1.06,1.06,1.06,1.06,1.06,1.06 hhh
137,49,Russian Federation,1.05,1.06,1.06,1.06,1.06,1.06 hhh
138,159,Rwanda,1.01,1.01,1.01,1.01,1.01,1.02 hhh
139,92,Saint Lucia,1.03,1.03,1.03,1.03,1.03,1.03 hhh
140,99,Saint Vincent and the Grenadines,1.03,1.03,1.03,1.03,1.03,1.03 hhh
141,104,Samoa,1.08,1.08,1.08,1.08,1.08,1.08 hhh
142,142,Sao Tome and Principe,1.03,1.03,1.03,1.03,1.03,1.03 hhh
143,38,Saudi Arabia,1.03,1.03,1.03,1.03,1.03,1.03 hhh
144,162,Senegal,1.04,1.04,1.04,1.04,1.04,1.04 hhh
145,66,Serbia,1.05,1.05,1.05,1.05,1.05,1.05 hhh
146,63,Seychelles,1.06,1.06,1.06,1.06,1.06,1.06 hhh
147,179,Sierra Leone,1.02,1.02,1.02,1.02,1.02,1.02 hhh
148,5,Singapore,1.07,1.07,1.07,1.07,1.07,1.07 hhh
149,40,Slovakia,1.05,1.05,1.05,1.05,1.05,1.05 hhh
150,25,Slovenia,1.05,1.05,1.05,1.05,1.05,1.05 hhh
151,156,Solomon Islands,1.07,1.07,1.07,1.07,1.07,1.07 hhh
152,0,Somalia,1.03,1.03,1.03,1.03,1.03,1.03 hhh
153,119,South Africa,1.03,1.03,1.03,1.03,1.03,1.03 hhh
154,181,South Sudan,1.04,1.04,1.04,1.04,1.04,1.04 hhh
155,27,Spain,1.06,1.06,1.06,1.06,1.06,1.06 hhh
156,73,Sri Lanka,1.05,1.04,1.04,1.05,1.04,1.04 hhh
157,165,Sudan,1.04,1.04,1.04,1.04,1.04,1.04 hhh
158,97,Suriname,1.08,1.08,1.08,1.08,1.08,1.07 hhh
159,148,Swaziland,1.03,1.03,1.03,1.03,1.03,1.03 hhh
160,14,Sweden,1.06,1.05,1.06,1.06,1.06,1.06 hhh
161,2,Switzerland,1.05,1.05,1.05,1.05,1.05,1.05 hhh
162,149,Syrian Arab Republic,1.05,1.05,1.05,1.05,1.05,1.05 hhh
163,129,Tajikistan,1.05,1.05,1.05,1.05,1.05,1.05 hhh
164,151,Tanzania (United Republic of),1.03,1.03,1.03,1.03,1.03,1.03 hhh
165,87,Thailand,1.05,1.06,1.06,1.06,1.06,1.06 hhh
166,82,The former Yugoslav Republic of Macedonia,1.05,1.05,1.05,1.05,1.05,1.05 hhh
167,133,Timor-Leste,1.05,1.05,1.05,1.05,1.05,1.05 hhh
168,166,Togo,1.02,1.02,1.02,1.02,1.02,1.02 hhh
169,101,Tonga,1.05,1.05,1.05,1.05,1.05,1.05 hhh
170,65,Trinidad and Tobago,1.04,1.04,1.04,1.04,1.04,1.04 hhh
171,97,Tunisia,1.05,1.05,1.05,1.05,1.05,1.05 hhh
172,71,Turkey,1.05,1.05,1.05,1.05,1.05,1.05 hhh
173,111,Turkmenistan,1.05,1.05,1.05,1.05,1.05,1.05 hhh
174,163,Uganda,1.03,1.03,1.03,1.03,1.03,1.03 hhh
175,84,Ukraine,1.06,1.06,1.06,1.06,1.06,1.06 hhh
