,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
41,176,Congo (Democratic Republic of the),62.0,73.0,54.0,39.0,26.0,26.0,28.0,24.0,23.0
42,66,Costa Rica,10.0,9.0,18.0,11.0,17.0,17.0,10.0,9.0,5.0
43,45,Croatia,,8.0,7.0,4.0,4.0,4.0,5.0,6.0,6.0
44,68,Cuba,6.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0
45,33,Cyprus,23.0,17.0,14.0,14.0,13.0,13.0,14.0,14.0,14.0
46,28,Czech Republic,,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0
47,171,Côte d'Ivoire,44.0,43.0,32.0,16.0,30.0,51.0,26.0,24.0,37.0
48,5,Denmark,16.0,12.0,1.0,5.0,15.0,13.0,10.0,11.0,10.0
49,172,Djibouti,15.0,59.0,50.0,35.0,15.0,16.0,17.0,20.0,29.0
50,96,Dominica,12.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,6.0
51,99,Dominican Republic,30.0,22.0,15.0,21.0,15.0,13.0,12.0,17.0,12.0
52,89,Ecuador,40.0,19.0,1.0,7.0,5.0,6.0,4.0,3.0,15.0
53,111,Egypt,14.0,11.0,2.0,2.0,4.0,4.0,7.0,4.0,7.0
54,117,El Salvador,2.0,7.0,3.0,1.0,8.0,11.0,7.0,6.0,6.0
55,135,Equatorial Guinea,12.0,19.0,49.0,49.0,49.0,49.0,65.0,58.0,56.0
56,179,Eritrea,,42.0,24.0,5.0,1.0,1.0,2.0,4.0,4.0
57,30,Estonia,,19.0,7.0,4.0,5.0,6.0,6.0,6.0,7.0
58,174,Ethiopia,62.0,62.0,64.0,60.0,36.0,32.0,35.0,38.0,30.0
59,91,Fiji,16.0,6.0,19.0,10.0,6.0,6.0,6.0,6.0,6.0
60,23,Finland,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
61,21,France,29.0,17.0,16.0,13.0,11.0,11.0,10.0,11.0,10.0
62,109,Gabon,24.0,43.0,45.0,45.0,38.0,28.0,29.0,30.0,39.0
63,173,Gambia,14.0,9.0,11.0,9.0,8.0,9.0,5.0,4.0,4.0
64,70,Georgia,,39.0,27.0,10.0,6.0,9.0,7.0,3.0,8.0
65,4,Germany,25.0,8.0,8.0,4.0,3.0,3.0,3.0,3.0,3.0
66,139,Ghana,39.0,30.0,10.0,17.0,7.0,9.0,12.0,11.0,8.0
67,29,Greece,24.0,30.0,11.0,4.0,1.0,1.0,1.0,1.0,3.0
68,79,Grenada,15.0,12.0,8.0,1.0,5.0,5.0,6.0,6.0,6.0
69,125,Guatemala,32.0,17.0,14.0,7.0,7.0,11.0,7.0,15.0,33.0
70,183,Guinea,65.0,39.0,58.0,49.0,42.0,38.0,38.0,38.0,48.0
71,178,Guinea-Bissau,47.0,55.0,29.0,24.0,31.0,31.0,31.0,31.0,31.0
72,127,Guyana,27.0,23.0,14.0,8.0,5.0,2.0,1.0,1.0,1.0
73,163,Haiti,69.0,51.0,45.0,42.0,36.0,35.0,35.0,35.0,47.0
74,130,Honduras,10.0,11.0,2.0,4.0,2.0,5.0,7.0,11.0,12.0
75,43,Hungary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,9,Iceland,1.0,1.0,9.0,10.0,7.0,6.0,10.0,9.0,10.0
77,131,India,44.0,28.0,44.0,32.0,18.0,16.0,17.0,17.0,17.0
78,113,Indonesia,42.0,37.0,24.0,23.0,22.0,20.0,15.0,16.0,23.0
79,69,Iran (Islamic Republic of),15.0,5.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0
