,HDI Rank,Country,2010,2011,2012,2013,2014,2015
119,87,Peru,0.463,0.508,0.507,0.500,0.515,0.536
120,116,Philippines,0.543,0.543,0.546,0.549,0.563,0.563
121,36,Poland,0.759,0.764,0.771,0.804,0.804,0.806
122,41,Portugal,0.668,0.679,0.688,0.709,0.712,0.712
123,50,Romania,0.685,0.743,0.730,0.731,0.728,0.734
124,49,Russian Federation,0.702,0.710,,0.797,0.797,0.798
125,159,Rwanda,0.277,0.286,0.300,0.300,0.300,0.301
126,92,Saint Lucia,,,,,0.614,0.614
127,142,Sao Tome and Principe,0.355,0.381,0.387,0.389,0.385,0.400
128,162,Senegal,0.158,0.171,0.182,0.190,0.196,0.196
129,66,Serbia,0.640,0.671,0.668,0.668,0.698,0.698
130,179,Sierra Leone,0.181,0.188,0.192,0.191,0.189,0.197
131,40,Slovakia,0.790,0.807,0.809,0.810,0.808,0.812
132,25,Slovenia,0.829,0.835,0.836,0.868,0.863,0.863
133,156,Solomon Islands,0.301,,,0.341,0.343,0.343
134,119,South Africa,0.536,0.537,0.544,0.572,0.592,0.608
135,181,South Sudan,,,,,0.179,0.180
136,27,Spain,0.740,0.751,0.760,0.768,0.776,0.777
137,73,Sri Lanka,0.606,0.610,0.636,0.641,0.656,0.656
138,165,Sudan,,,,,0.182,0.182
139,97,Suriname,0.481,0.486,0.503,0.507,0.510,0.510
140,148,Swaziland,0.319,0.373,0.382,0.399,0.399,0.399
141,14,Sweden,0.811,0.807,0.811,0.816,0.822,0.826
142,2,Switzerland,0.863,0.865,0.867,0.838,0.841,0.840
143,149,Syrian Arab Republic,0.372,0.380,0.391,0.313,0.299,0.286
144,129,Tajikistan,0.594,0.593,0.576,0.578,0.615,0.615
145,151,Tanzania (United Republic of),0.300,0.282,0.308,0.293,0.301,0.315
146,87,Thailand,0.503,0.517,0.521,0.538,0.538,0.538
147,82,The former Yugoslav Republic of Macedonia,0.546,0.551,0.590,0.602,0.602,0.602
148,133,Timor-Leste,0.275,0.260,0.259,0.259,0.259,0.259
149,166,Togo,0.271,0.280,0.281,0.300,0.299,0.299
150,101,Tonga,0.719,,,,,
151,65,Trinidad and Tobago,0.662,0.664,0.667,0.669,0.670,0.670
152,97,Tunisia,0.381,0.389,,,0.419,0.421
153,71,Turkey,0.452,0.469,0.473,0.566,0.572,0.574
154,111,Turkmenistan,0.561,,,,,
155,163,Uganda,0.342,0.311,0.307,0.315,0.326,0.330
156,84,Ukraine,0.771,0.746,0.751,0.752,0.774,0.774
157,16,United Kingdom,0.872,0.856,0.854,0.866,0.871,0.871
158,10,United States,0.863,0.864,0.851,0.839,0.852,0.850
159,54,Uruguay,0.631,0.633,0.636,0.636,0.651,0.642
160,105,Uzbekistan,0.689,0.698,0.707,0.719,0.728,0.729
161,134,Vanuatu,,,,,0.434,0.434
162,71,Venezuela (Bolivarian Republic of),0.564,0.578,0.579,0.584,0.585,0.586
163,115,Viet Nam,0.483,0.491,0.498,0.500,0.502,0.508
164,168,Yemen,0.163,0.172,0.176,0.185,0.182,0.182
165,139,Zambia,0.420,0.429,0.436,0.438,0.452,0.452
166,154,Zimbabwe,0.418,0.411,0.450,0.447,0.450,0.450
167,,,,,,,,
