,HDI Rank,Country,2010,2011,2012,2013,2014,2015
162,149,Syrian Arab Republic,0.711,0.708,0.698,0.671,0.667,0.653
163,129,Tajikistan,0.514,0.546,0.549,0.536,0.537,0.586
164,151,Tanzania (United Republic of),0.400,0.444,0.453,0.475,0.482,0.525
165,87,Thailand,0.748,0.746,0.748,0.753,0.755,0.753
166,82,The former Yugoslav Republic of Macedonia,0.755,0.765,0.768,0.785,0.788,0.790
167,133,Timor-Leste,0.478,0.511,0.513,0.570,0.572,0.564
168,166,Togo,0.371,0.367,0.373,0.381,0.386,0.418
169,101,Tonga,0.687,0.694,0.696,0.699,0.701,0.704
170,65,Trinidad and Tobago,0.632,0.641,0.643,0.647,0.648,0.648
171,97,Tunisia,0.733,0.734,0.735,0.753,0.754,0.743
172,71,Turkey,0.696,0.730,0.734,0.753,0.757,0.756
173,111,Turkmenistan,0.502,0.509,0.511,0.517,0.519,0.521
174,163,Uganda,0.327,0.342,0.348,0.385,0.392,0.388
175,84,Ukraine,0.675,0.686,0.693,0.699,0.703,0.718
176,42,United Arab Emirates,0.802,0.814,0.816,0.826,0.829,0.828
177,16,United Kingdom,0.879,0.882,0.885,0.890,0.892,0.894
178,10,United States,0.846,0.843,0.845,0.851,0.853,0.855
179,54,Uruguay,0.783,0.792,0.794,0.797,0.799,0.798
180,105,Uzbekistan,0.546,0.565,0.568,0.572,0.573,0.575
181,134,Vanuatu,,0.663,0.667,0.672,0.676,0.678
182,71,Venezuela (Bolivarian Republic of),0.715,0.726,0.728,0.730,0.732,0.741
183,115,Viet Nam,0.731,0.737,0.739,0.752,0.755,0.739
184,168,Yemen,0.453,0.496,0.499,0.468,0.470,0.479
185,139,Zambia,0.300,0.335,0.343,0.380,0.387,0.416
186,154,Zimbabwe,0.300,0.338,0.360,0.402,0.422,0.415
187,,,,,,,,
