,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
122,114,"Palestine, State of",925,1460,1380,1476,1688,1615 ee,1618,1766
123,60,Panama,7541,8915,10153,11545,12762,13385 ee,13975,14545
124,154,Papua New Guinea,1501,1472,1811,1960,2073,2142 ee,2271,2362
125,110,Paraguay,3024,3142,4821,5050,4940,5669 ee,5696,6139
126,87,Peru,4380,5254,7102,7410,7972,7810 ee,8811,8936
127,116,Philippines,3591,4687,5951,5531,5893,6296 ee,6573,6843
128,36,Poland,10897,12418,16537,17358,17653,17900 ee,18186,18921
129,41,Portugal,19040,21528,22102,21535,20771,20631 ee,20829,21097
130,33,Qatar,48657,37756,43613,48400,49867,51121 ee,51104,50313
131,50,Romania,8282,11240,13913,14043,14432,15145 ee,15837,16276
132,49,Russian Federation,10667,14852,16430,17158,17703,18842 ee,18701,17870
133,159,Rwanda,687,868,1166,1223,1293,1313 ee,1371,1428
134,92,Saint Lucia,7609,7474,8535,8523,8069,7970 ee,7955,8033
135,99,Saint Vincent and the Grenadines,4614,5905,7028,7006,7240,7421 ee,7500,7600
136,104,Samoa,2346,2943,3330,3495,3482,3398 ee,3413,3444
137,142,Sao Tome and Principe,1193,1382,1768,1825,1873,1915 ee,1970,2000
138,38,Saudi Arabia,10758,13238,13987,16158,17807,18097 ee,19053,19305
139,162,Senegal,1351,1499,1633,1610,1629,1622 ee,1657,1706
140,66,Serbia,5393,7122,9744,9953,9702,9818 ee,9594,9601
141,179,Sierra Leone,953,1039,1241,1286,1445,1699 ee,1736,1354
142,5,Singapore,34853,36332,49364,57717,57186,59025 ee,60318,60808
143,40,Slovakia,11387,14149,18295,17924,18555,19230 ee,19411,20170
144,25,Slovenia,17294,23505,25343,25397,24608,24373 ee,25141,25651
145,156,Solomon Islands,872,802,919,1016,1041,1053 ee,1048,1061
146,0,Somalia,151,156,167,168,169,169 ee,170,170
147,119,South Africa,6936,7919,8591,8672,8900,8815 ee,8810,8797
148,27,Spain,19698,23000,24620,23991,23378,23052 ee,23533,24377
149,73,Sri Lanka,3307,3841,4611,4972,5368,5501 ee,5856,6069
150,165,Sudan,938,1117,1463,1637,1810,1830 ee,1857,1902
151,97,Suriname,5490,7171,9183,9200,9670,10085 ee,10352,10501
152,148,Swaziland,4964,5567,4838,4883,4958,5019 ee,5060,5078
153,14,Sweden,31958,36624,38798,39582,39398,39483 ee,39041,40327
154,2,Switzerland,38229,42016,44549,42858,46077,46251 ee,46254,46808
155,149,Syrian Arab Republic,1517,1835,2005,1925,1555,1226 ee,994,835
