,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
62,163,Haiti,10.8,13.5,16.6,19.7,22.4,23.2,24.0,24.9,25.7,25.7 aaa
63,130,Honduras,18.6,21.8,23.8,26.3,28.0,28.2,28.0,30.7,33.4,33.4 d
64,12,"Hong Kong, China (SAR)",47.9,55.4,61.1,66.4,70.8,72.2,75.1,78.0,80.9,80.9 d
65,43,Hungary,34.8,65.0,83.8,88.0,97.4,97.8,97.9,98.0,95.6,95.6 d
66,9,Iceland,46.5,52.2,71.6,91.0,98.0,100.0,100.0,100.0,100.0,100.0 d
67,131,India,13.4,15.0,23.5,21.8,27.0,29.1,31.2,33.3,35.3,35.3 aaa
68,113,Indonesia,13.8,17.4,26.1,34.8,38.6,39.9,40.9,41.9,42.9,42.9 d
69,69,Iran (Islamic Republic of),26.0,34.7,47.9,58.5,60.0,60.9,61.8,64.9,66.8,66.8 d
70,121,Iraq,12.8,17.5,21.2,25.2,27.8,29.8,31.8,33.8,35.8,35.8 aaa
71,8,Ireland,59.6,66.9,72.9,74.8,79.4,80.5,82.6,84.7,86.8,86.8 d
72,19,Israel,66.7,70.1,71.4,72.6,83.1,84.0,84.4,87.0,87.3,87.3 d
73,26,Italy,44.1,52.2,59.3,63.5,69.1,70.2,71.2,75.2,79.1,79.1 d
74,94,Jamaica,27.2,39.9,51.1,55.5,59.7,61.5,63.4,65.2,67.1,67.1 d
75,17,Japan,63.4,71.2,77.2,81.6,87.0,88.5,90.0,91.5,93.0,93.0 d
76,86,Jordan,20.8,31.4,36.8,50.1,69.5,71.7,74.0,76.2,78.5,78.5 d
77,56,Kazakhstan,59.8,70.4,81.5,94.2,96.9,97.6,98.3,99.0,99.7,99.7 d
78,146,Kenya,8.4,11.3,15.1,22.0,25.3,26.0,26.6,27.2,27.8,27.8 d
79,18,Korea (Republic of),57.6,64.3,69.6,74.1,77.1,80.0,82.9,85.9,88.8,88.8 d
80,51,Kuwait,41.9,42.6,46.6,46.4,54.7,55.1,55.6,55.8,56.8,56.8 d
81,120,Kyrgyzstan,71.1,79.3,87.3,91.3,96.5,97.4,98.3,99.1,100.0,100.0 d
82,138,Lao People's Democratic Republic,6.0,9.8,14.0,18.3,22.9,24.8,26.6,28.5,30.4,30.4 aaa
83,44,Latvia,58.3,74.9,82.9,98.0,98.6,98.9,98.9,99.0,99.3,99.3 d
84,76,Lebanon,,,,53.0,53.0,53.0,53.0,53.0,53.0,53.0 d
85,160,Lesotho,13.4,18.2,23.7,26.8,17.3,18.9,20.4,22.0,23.6,23.6 d
86,177,Liberia,8.4,10.0,11.4,13.0,15.4,15.9,16.3,16.8,17.3,17.3 aaa
87,102,Libya,17.0,24.4,34.0,45.1,55.5,58.0,60.6,63.1,65.7,65.7 aaa
88,37,Lithuania,65.4,72.7,80.3,83.7,88.6,89.3,89.1,90.2,91.1,91.1 d
89,20,Luxembourg,46.3,53.2,60.7,68.4,100.0,100.0,100.0,100.0,100.6,100.6 d
90,170,Malawi,2.8,3.3,4.5,5.7,11.1,12.1,13.0,14.0,14.9,14.9 d
91,59,Malaysia,34.7,45.3,49.9,42.9,65.1,67.7,70.2,72.8,75.4,75.4 d
92,105,Maldives,22.9,20.5,17.9,10.7,23.6,26.3,28.9,31.6,34.3,34.3 d
93,175,Mali,1.1,1.4,1.7,2.2,8.1,7.7,7.6,7.5,7.4,7.3 d
94,33,Malta,25.0,29.4,33.3,58.8,63.4,64.7,68.6,71.1,72.7,72.7 d
95,0,Marshall Islands,,,,,91.6,91.6,91.6,91.6,91.6,91.6 d
96,157,Mauritania,2.0,3.4,4.9,6.4,8.3,9.0,9.7,10.4,11.1,11.1 aaa
97,64,Mauritius,26.0,32.5,33.3,43.1,49.6,49.4,51.9,54.4,57.0,57.0 d
98,77,Mexico,27.8,35.1,37.0,44.5,51.0,53.3,55.7,54.8,56.1,56.1 d
99,107,Moldova (Republic of),65.6,71.8,76.5,85.9,92.1,92.6,93.6,94.3,95.2,95.2 d
100,92,Mongolia,67.6,70.7,77.8,81.5,85.3,86.4,87.5,88.6,89.7,89.7 d
101,48,Montenegro,,,74.3,78.8,83.3,84.2,85.1,86.0,86.9,86.9 d
102,123,Morocco,9.1,11.9,14.9,17.9,20.7,21.9,23.2,24.5,25.7,25.7 aaa
103,181,Mozambique,0.8,1.1,1.2,1.3,1.4,1.7,2.1,2.4,2.8,2.8 aaa
104,145,Myanmar,13.0,15.2,17.2,19.4,22.9,24.0,25.0,26.1,27.1,27.1 aaa
105,125,Namibia,31.5,29.7,26.6,30.1,33.3,34.5,35.7,36.9,38.1,38.1 d
