,HDI Rank,Country,2010,2011,2012,2013,2014,2015
120,116,Philippines,12.9,13.5,13.5,13.5,11.6,11.6 qqq
121,36,Poland,7.1,6.6,6.3,5.6,5.6,5.4 qqq
122,41,Portugal,5.7,5.6,5.6,5.7,5.9,5.9 qqq
123,50,Romania,13.1,5.0,5.0,5.0,4.7,4.6 qqq
124,49,Russian Federation,11.2,11.2,,2.1,2.3,2.2 qqq
125,159,Rwanda,30.7,30.7,29.4,29.4,29.4,29.3 qqq
126,92,Saint Lucia,,,,,9.2,9.2 qqq
127,142,Sao Tome and Principe,22.7,19.1,20.0,20.0,21.4,21.4 qqq
128,162,Senegal,47.3,45.1,44.6,44.6,44.7,44.7 qqq
129,66,Serbia,11.1,9.9,9.9,10.7,8.1,8.1 qqq
130,179,Sierra Leone,48.2,47.4,47.4,48.7,49.6,47.3 qqq
131,40,Slovakia,1.7,1.6,1.5,1.5,1.5,1.4 qqq
132,25,Slovenia,4.0,3.1,3.3,2.7,2.6,2.6 qqq
133,156,Solomon Islands,30.2,,,22.8,22.8,22.8 qqq
134,0,Somalia,,,,,43.5,43.5 qqq
135,119,South Africa,20.8,20.8,20.8,18.1,16.1,13.8 qqq
136,181,South Sudan,,,,,39.6,39.6 qqq
137,27,Spain,5.7,5.5,5.5,5.4,5.2,5.1 qqq
138,73,Sri Lanka,17.9,17.9,14.6,14.6,12.8,12.8 qqq
139,165,Sudan,,,,,42.7,42.7 qqq
140,97,Suriname,20.1,20.1,20.1,19.5,19.0,19.0 qqq
141,148,Swaziland,38.3,29.8,29.8,26.8,26.8,26.8 qqq
142,14,Sweden,3.6,3.9,3.8,3.6,3.5,3.4 qqq
143,2,Switzerland,2.0,2.0,2.0,5.8,5.7,5.7 qqq
144,149,Syrian Arab Republic,31.5,31.5,31.5,31.5,31.5,31.5 qqq
145,129,Tajikistan,9.4,9.4,12.2,12.2,6.5,6.5 qqq
146,151,Tanzania (United Republic of),28.7,32.8,28.3,29.5,28.5,28.5 qqq
147,87,Thailand,18.0,18.0,18.0,16.1,16.1,16.1 qqq
148,82,The former Yugoslav Republic of Macedonia,17.5,17.5,12.3,10.6,10.6,10.6 qqq
149,133,Timor-Leste,44.3,47.4,47.6,47.6,47.6,47.6 qqq
150,166,Togo,41.5,41.5,41.5,37.6,38.9,38.9 qqq
151,101,Tonga,5.1,,,,,
152,65,Trinidad and Tobago,6.6,6.6,6.6,6.6,6.6,6.6 qqq
153,97,Tunisia,38.7,38.7,,,34.6,34.6 qqq
154,71,Turkey,27.4,27.4,27.4,14.1,14.2,14.2 qqq
155,111,Turkmenistan,10.2,,,,,
156,0,Tuvalu,,,,10.5,10.5,10.5 qqq
157,163,Uganda,28.2,32.2,32.2,31.2,29.4,29.4 qqq
