,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014
132,2,Switzerland,1.4,1.5,1.4,1.3,1.3,1.3,1.4
133,151,Tanzania (United Republic of),9.3,10.0,10.8,11.0,11.4,11.5,
134,87,Thailand,3.6,3.7,4.1,4.3,4.3,4.4,4.5
135,82,The former Yugoslav Republic of Macedonia,5.3,5.0,5.0,5.1,5.1,5.1,
136,166,Togo,6.8,6.8,7.5,7.2,7.3,7.2,6.8
137,65,Trinidad and Tobago,1.4,2.1,3.4,3.5,3.8,4.0,
138,97,Tunisia,3.6,3.6,3.7,3.7,3.7,3.8,3.9
139,71,Turkey,4.0,3.5,3.7,3.6,3.6,3.7,3.8
140,163,Uganda,4.4,4.5,5.0,5.6,5.3,5.2,
141,84,Ukraine,5.5,5.9,5.6,5.5,5.3,5.2,
142,16,United Kingdom,1.2,1.1,1.2,1.2,1.2,1.2,1.2
143,10,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,54,Uruguay,2.8,2.8,3.0,3.1,3.1,3.1,3.1
145,71,Venezuela (Bolivarian Republic of),2.1,2.8,3.5,3.6,3.7,4.1,4.5
146,168,Yemen,,7.2,7.9,7.5,7.5,7.6,
147,139,Zambia,11.5,11.6,10.2,9.8,10.1,10.1,
148,,,,,,,,,
