,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014
144,104,Samoa,68,88,102,122,121,126,116,120
145,0,San Marino,28,43,50,120,156,139,71,75
146,142,Sao Tome and Principe,6,7,16,8,12,,,
147,38,Saudi Arabia,3325,6585,8037,10850,14179,16332,15772,18259
148,162,Senegal,,,769,900,968,962,1063,836
149,66,Serbia,,,453,683,764,810,922,1029
150,63,Seychelles,121,130,129,175,194,208,230,233
151,179,Sierra Leone,14,16,40,39,52,60,81,44
152,5,Singapore,6070,6062,7079,9161,10390,11098,11899,11864
153,40,Slovakia,,,6184,5415,5961,6235,,
154,25,Slovenia,732,1090,1555,1869,2037,2156,2259,2411
155,156,Solomon Islands,12,5,9,21,23,24,24,20
156,119,South Africa,4488,5872,7369,8074,8339,9188,9537,9549
157,27,Spain,34920,46403,55914,52677,56177,57464,60675,64995
158,73,Sri Lanka,403,400,549,654,856,1006,1275,1527
159,165,Sudan,29,38,246,495,536,575,591,684
160,97,Suriname,43,57,161,205,220,240,249,252
161,148,Swaziland,300,281,837,868,879,889,968,
162,14,Sweden,2310,3828,4883,5183,5222,5146,5229,5660
163,2,Switzerland,6946,7821,7229,8628,8534,8566,8967,9158
164,149,Syrian Arab Republic,815,2100,3571,8546,5070,,,
165,129,Tajikistan,,,,160,183,244,208,213
166,151,Tanzania (United Republic of),285,459,590,754,843,1043,1063,1113
167,87,Thailand,6952,9579,11567,15936,19230,22354,26547,24810
168,82,The former Yugoslav Republic of Macedonia,147,224,197,262,327,351,400,425
169,133,Timor-Leste,,,,40,51,58,79,60
170,166,Togo,53,60,81,202,300,235,327,282
171,101,Tonga,29,35,42,47,46,48,45,50
172,65,Trinidad and Tobago,260,399,463,388,431,455,434,412
173,97,Tunisia,4120,5058,6378,6903,4785,5950,6269,6069
174,71,Turkey,7083,9586,20273,31364,34654,35698,37795,39811
175,111,Turkmenistan,218,3,12,,,,,
176,0,Tuvalu,1,1,1,2,1,1,1,1
177,163,Uganda,160,193,468,946,1151,1197,1206,1266
178,84,Ukraine,3716,6431,17631,21203,21415,23013,24671,12712
179,42,United Arab Emirates,2315,3907,7126,,,,,
180,16,United Kingdom,21719,23212,28039,28295,29306,29282,31063,32613
181,10,United States,43318,51238,49206,60010,62821,66657,69995,75011
182,54,Uruguay,2022,1968,1808,2353,2857,2695,2683,2682
183,105,Uzbekistan,92,302,242,975,,,1969,
184,134,Vanuatu,44,58,62,97,94,108,110,109
185,71,Venezuela (Bolivarian Republic of),700,469,706,526,595,988,986,857
186,115,Viet Nam,1351,2140,3477,5050,6014,6848,7572,7874
187,168,Yemen,61,73,336,1025,829,874,990,
188,139,Zambia,163,457,669,815,920,859,915,947
189,154,Zimbabwe,1416,1967,1559,2239,2423,1794,1833,1905
190,,,,,,,,,,
