,HDI Rank,Country,1990,1995,2000,2005,2010,2015
111,107,Moldova (Republic of),13.0 x,14.0 x,14.0 x,13.9 x,13.8 x,13.4 x
112,92,Mongolia,7.4,6.6,6.0,5.5,5.5,6.0
113,48,Montenegro,12.4,14.7,17.3,19.6,19.0,20.2
114,123,Morocco,6.9,8.0,8.6,9.0,9.2,9.3
115,181,Mozambique,6.4,5.9,6.0,6.2,6.4,6.5
116,145,Myanmar,7.3,7.5,7.5,7.6,7.7,8.0
117,125,Namibia,6.4,6.2,5.9,5.9,5.9,5.9
118,144,Nepal,6.5,6.6,6.8,7.8,8.6,9.0
119,7,Netherlands,18.4,19.1,20.0,20.8,23.2,27.9
120,13,New Zealand,16.9,17.6,18.0,18.1,19.6,22.9
121,124,Nicaragua,6.3,6.6,6.8,7.2,7.6,7.8
122,187,Niger,4.7,4.9,5.0,5.1,5.3,5.5
123,152,Nigeria,5.5,5.4,5.2,5.1,5.1,5.1
124,1,Norway,25.2 j,24.7 j,23.4 j,22.4 j,22.7 j,24.9 j
125,52,Oman,4.4,3.6,4.1,4.1,3.9,3.4
126,147,Pakistan,7.4,7.5,7.5,7.4,7.5,7.4
127,114,"Palestine, State of",4.3 w,4.3 w,4.6 w,4.8 w,5.0 w,5.2 w
128,60,Panama,8.0,8.3,8.8,9.6,10.6,11.7
129,154,Papua New Guinea,4.2,4.3,4.4,4.5,4.8,5.0
130,110,Paraguay,7.5,7.8,7.7,8.1,8.6,9.4
131,87,Peru,6.9,7.3,8.0,9.0,9.6,10.5
132,116,Philippines,5.6,5.4,5.5,5.8,6.7,7.2
133,36,Poland,15.6,16.8,17.9,18.8,18.9,22.3
134,41,Portugal,20.7,22.3,24.0,25.5,28.3,31.9
135,33,Qatar,1.8,2.0,2.3,1.7,1.2,1.4
136,50,Romania,15.8,17.9,20.1,22.1,23.2,25.8
137,49,Russian Federation,15.4,18.3,18.0,19.5,18.2,19.1
138,159,Rwanda,4.6,4.0,6.2,4.9,4.9,5.0
139,92,Saint Lucia,13.3,13.4,12.6,11.3,12.8,13.3
140,99,Saint Vincent and the Grenadines,11.1,11.3,11.2,11.2,10.1,10.8
141,104,Samoa,6.9,7.6,8.2,8.7,8.9,9.1
142,142,Sao Tome and Principe,9.9,9.4,9.2,8.5,7.0,5.7
143,38,Saudi Arabia,5.1,5.2,4.9,4.4,4.1,4.2
144,162,Senegal,6.0,6.1,6.2,6.0,5.8,5.5
145,66,Serbia,14.4 y,17.2 y,20.9 y,22.2 y,22.3 y,25.6 y
146,63,Seychelles,11.6,11.4,12.2,10.4,10.2,9.9
147,179,Sierra Leone,5.8,5.2,4.7,4.7,4.8,4.9
148,5,Singapore,7.7,8.9,10.3,11.3,12.2,16.1
149,40,Slovakia,16.1,16.3,16.5,16.3,17.1,19.5
150,25,Slovenia,15.5,17.7,20.1,22.0,24.0,26.7
151,156,Solomon Islands,5.4,4.9,5.1,5.4,5.9,5.9
152,0,Somalia,6.2,6.0,5.9,5.9,5.7,5.6
153,119,South Africa,5.5,5.6,6.5,7.3,7.9,7.7
154,181,South Sudan,5.2,5.5,5.8,6.1,6.3,6.4
155,27,Spain,20.0 z,22.1 z,24.3 z,24.1 z,25.2 z,28.3 z
156,73,Sri Lanka,8.8,9.4,9.3,10.1,10.9,14.1
157,165,Sudan,5.7,5.6,5.6,5.7,5.7,5.9
158,97,Suriname,7.7,8.4,9.1,9.6,10.0,10.4
159,148,Swaziland,5.5,5.6,5.6,5.8,5.8,6.1
160,14,Sweden,27.7,27.4,26.8,26.5,27.9,31.8
161,2,Switzerland,21.3,21.7,22.7,23.3,24.9,26.9
162,149,Syrian Arab Republic,6.0,6.0,6.0,5.9,5.8,6.9
163,129,Tajikistan,7.3,7.4,6.6,6.5,5.4,4.8
164,151,Tanzania (United Republic of),5.3 s,5.3 s,5.4 s,5.7 s,6.0 s,6.2 s
165,87,Thailand,6.9,8.2,9.5,11.0,12.4,14.6
166,82,The former Yugoslav Republic of Macedonia,10.8,12.0,13.5,15.1,16.0,17.4
167,133,Timor-Leste,3.0,3.6,4.8,5.3,7.9,10.7
168,166,Togo,5.8,5.8,5.4,5.1,5.0,5.0
169,101,Tonga,8.0,9.7,10.2,10.8,10.4,10.2
170,65,Trinidad and Tobago,9.5,9.6,9.6,10.2,11.7,13.5
171,97,Tunisia,8.4,9.2,10.6,11.0,10.8,11.0
172,71,Turkey,7.7,8.3,9.5,10.1,10.6,11.3
173,111,Turkmenistan,6.8,7.3,7.2,7.3,6.2,6.1
174,163,Uganda,5.5,5.6,5.7,5.4,5.2,5.0
175,84,Ukraine,18.0 iii,20.3 iii,20.0 iii,22.9 iii,22.8 iii,21.9 iii
176,42,United Arab Emirates,1.7,1.4,1.4,1.1,0.8,1.3
177,16,United Kingdom,24.1,24.5,24.3,24.2,24.5,27.6
178,10,United States,19.0,19.2,18.5,18.3,19.4,22.3
179,54,Uruguay,18.7,19.9,21.0,21.6,21.9,22.5
180,105,Uzbekistan,7.3,8.0,8.0,8.2,7.1,7.0
181,134,Vanuatu,6.8,6.5,6.1,5.8,6.8,7.1
182,71,Venezuela (Bolivarian Republic of),6.3,6.6,7.1,7.7,8.5,9.5
183,115,Viet Nam,10.1,10.1,10.4,9.9,9.4,9.6
184,168,Yemen,5.5,6.8,5.7,4.8,4.6,4.9
185,139,Zambia,5.4,5.4,5.4,5.7,5.8,5.7
186,154,Zimbabwe,5.8,5.9,5.9,5.9,5.8,5.3
187,,,,,,,,
