,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
162,119,South Africa,18.6,70.4,97.9,123.2,130.6,145.6,149.2,159.3
163,181,South Sudan,,,14.4,17.3,21.2,25.3,24.5,23.9
164,27,Spain,60.2,98.4,111.3,113.1,108.4,106.9,107.9,107.9
165,73,Sri Lanka,2.3,16.9,83.6,87.5,91.6,95.5,103.2,112.8
166,165,Sudan,0.1,4.8,41.5,68.8,74.4,72.9,72.2,70.5
167,97,Suriname,8.8,46.6,99.3,100.7,106.5,161.1,170.6,180.7
168,148,Swaziland,3.1,18.1,60.8,63.2,65.4,71.5,72.3,73.2
169,14,Sweden,71.8,100.8,117.2,121.2,124.6,125.5,127.8,130.4
170,2,Switzerland,64.7,92.2,123.2,127.4,132.1,136.8,136.7,142.0
171,149,Syrian Arab Republic,0.2,16.2,54.3,59.2,59.3,56.1,63.9,62.4
172,129,Tajikistan,0.0,3.9,77.9,80.9,81.5,91.8,95.1,98.6
173,151,Tanzania (United Republic of),0.3,7.6,46.7,55.4,57.0,55.7,62.8,75.9
174,87,Thailand,4.9,46.5,108.0,116.3,127.3,140.1,144.4,125.8
175,82,The former Yugoslav Republic of Macedonia,5.6,54.1,102.4,105.2,106.2,106.2,105.5,105.4
176,133,Timor-Leste,,3.3,43.8,56.0,55.7,57.4,119.4,117.4
177,166,Togo,1.0,7.8,41.3,41.6,49.9,62.5,64.6,64.9
178,101,Tonga,0.2,29.6,52.2,52.6,53.4,54.6,64.3,65.6
179,65,Trinidad and Tobago,12.8,71.3,142.6,137.0,140.8,144.9,147.3,157.7
180,97,Tunisia,1.2,56.5,104.5,115.2,118.1,115.6,128.5,129.9
181,71,Turkey,25.5,64.4,85.6,89.4,91.5,93.0,94.8,96.0
182,111,Turkmenistan,0.2,2.2,63.4,103.8,114.1,116.9,135.8,145.9
183,0,Tuvalu,0.0,13.4,16.3,21.6,28.4,34.4,38.4,40.3
184,163,Uganda,0.5,4.6,37.7,47.5,45.0,48.1,52.4,50.4
185,84,Ukraine,1.7,63.7,117.1,121.3,130.3,138.1,144.1,144.0
186,42,United Arab Emirates,47.2,109.3,129.4,131.4,149.6,171.9,178.1,187.3
187,16,United Kingdom,73.7,108.6,123.6,123.6,124.8,124.6,123.6,125.8
188,10,United States,38.5,68.3,91.3,94.4,96.0,97.1,110.2,117.6
189,54,Uruguay,12.4,34.7,131.6,140.6,147.1,154.6,160.8,160.2
190,105,Uzbekistan,0.2,2.8,75.5,90.4,71.0,74.3,73.8,73.3
191,134,Vanuatu,0.2,6.1,71.9,56.6,59.1,50.3,60.4,66.2
192,71,Venezuela (Bolivarian Republic of),22.3,46.8,96.0,97.6,102.1,101.6,99.0,93.0
193,115,Viet Nam,1.0,11.3,125.3,141.6,145.0,135.0,147.1,130.6
194,168,Yemen,0.2,11.3,48.7,50.1,58.3,69.0,68.5,68.0
195,139,Zambia,1.0,8.3,41.2,59.9,74.8,71.5,67.3,74.5
196,154,Zimbabwe,2.1,5.1,58.9,68.9,91.9,96.3,80.8,84.8
197,,,,,,,,,,
